"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"9","0","0",0.19373655813658,9
"10","0","0",0.159169120913419,85
"11","0","0",0.251491976360846,22
"12","0","0",0.272588177350831,39
"9","1","0",0.970640616417365,11
"10","1","0",0.797454105327374,62
"11","1","0",1.26000136116191,30
"12","1","0",1.36569555605179,92
"9","0","1",0.115864839236175,5
"10","0","1",0.0951916601769876,4
"11","0","1",0.150405672994845,16
"12","0","1",0.163022331201788,67
"9","1","1",0.580495080840734,0
"10","1","1",0.476920270498694,0
"11","1","1",0.753548305764088,3
"12","1","1",0.816759095802385,3
"9","0","2",0.333695028630522,0
"10","0","2",0.274155507206101,1
"11","0","2",0.433173909246991,0
"12","0","2",0.469510352203645,0
"9","1","2",1.67184733434254,0
"10","1","2",1.37354804414945,1
"11","1","2",2.17024703200832,0
"12","1","2",2.35229644864447,1
