"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0",0.797629663851476,16
"1-2","0","0",1.7029911567866,1
"8-9-10-11-12","1","0",1.15365879118315,70
"1-2","1","0",2.46313647595216,6
"8-9-10-11-12","0","1",1.11649797493269,22
"1-2","0","1",2.38379571880438,8
"8-9-10-11-12","1","1",1.61485682202403,8
"1-2","1","1",3.44782423725846,1
"8-9-10-11-12","0","2",1.45080651615592,2
"1-2","0","2",3.0975661753748,0
"8-9-10-11-12","1","2",2.09838696769023,1
"1-2","1","2",4.48019251470333,0
