"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8","0","0",2.97435897435901,39
"9","0","0",2.08333333333335,12
"10-11","0","0",1.5623768793321,36
"12","0","0",1.31408305364034,0
"1","0","0",0.754432344044773,1
"2","0","0",1.12535171838614e-08,2
"8","1","0",3.80000000000003,45
"9","1","0",3.45000000000003,20
"10-11","1","0",1.83779705866746,57
"12","1","0",1.62499999999998,8
"1","1","0",0.874261275992469,6
"2","1","0",1.12535166246994e-08,4
"8","0","1",4.40000000000004,15
"9","0","1",3.75000000000003,8
"10-11","0","1",2.43980801186363,29
"12","0","1",0.999999999999964,1
"1","0","1",0.805063072883852,9
"2","0","1",1.12535175365294e-08,9
"8","1","1",4.54582110142093,0
"9","1","1",5.0218189311428,0
"10-11","1","1",2.32079537942218,7
"12","1","1",1,3
"1","1","1",0.754432344044773,1
"2","1","1",9.10034212542352e-09,0
"8","0","2",6.00000000000006,7
"9","0","2",5.00000000000005,3
"10-11","0","2",2.33333333333335,3
"12","0","2",2,1
"1","0","2",1.63422699573996,0
"2","0","2",1.12535190930322e-08,2
"8","1","2",3.0994234782414,0
"9","1","2",3.34787928742837,0
"10-11","1","2",1.10975724161902,0
"12","1","2",0.99999999999999,1
"1","1","2",0.765724913130603,0
"2","1","2",4.55017169205733e-09,0
