"Burst_Month","Position_A","Nature_Ancestor_F","1","2","3","4","5","6","7"
"8-9-10","0","0",0.00769085296293852,0.146128492510057,0.480923249498196,0.174099177806359,0.0307010259912985,0.0971015440011102,0.0633556572300406
"11","0","0",0.0405134505105093,0.457057741680211,0.406894242467251,0.053957503776571,0.00768415501896857,0.0216292803468886,0.012263626199601
"12-1-2","0","0",0.724034995695946,0.259974093143075,0.0142938959954576,0.000999347989571242,0.000133389060243627,0.000364500933694778,0.00019977718201214
"8-9-10","1","0",0.00243758072363279,0.051767058659547,0.299752859041657,0.217596961398614,0.0510281298947487,0.200770718760703,0.176646691521098
"11","1","0",0.0201142625563375,0.304870302533987,0.496525709572364,0.0965664626192357,0.014617174669147,0.0424027708396988,0.0249033172092301
"12-1-2","1","0",0.169269310694899,0.657690797112147,0.151620481107786,0.0125099325197,0.0016920901741978,0.00465110700158267,0.00256628138968773
"8-9-10","0","1",0.00156663117828664,0.0339287893083826,0.224760348473678,0.201132501468537,0.0530010950516596,0.235173561170284,0.250437073349173
"11","0","1",0.0072976012191556,0.139763938030133,0.475335515655725,0.178134451241429,0.03175896077625,0.101142345731759,0.0665671873455481
"12-1-2","0","1",0.58318232108622,0.387245411358328,0.0263947460124438,0.00187005519559758,0.000249854983368381,0.000683054912146375,0.000374556451895991
"8-9-10","1","1",0.00107747180098198,0.0235967886126503,0.170075187929772,0.175871226220151,0.0507311099597633,0.251581624222342,0.327066591254339
"11","1","1",0.00773202731675106,0.146788994899812,0.481468195941111,0.173683148505018,0.0305939721910949,0.0966965660967272,0.0630370950494862
"12-1-2","1","1",0.191541680059635,0.655945269213211,0.134036373749808,0.0108047132707676,0.00145853453816802,0.00400556364266302,0.00220786552574737
"8-9-10","0","2",0.000370958593551597,0.00825769997853051,0.0681864028114568,0.0916500945068349,0.0318676100142103,0.214139705033603,0.585527529061813
"11","0","2",0.00284535856847327,0.0598825119691469,0.327442403333752,0.218871953156872,0.0492327693704212,0.186517184322442,0.155207819278893
"12-1-2","0","2",0.520880447689495,0.441381557229833,0.0336523865942849,0.00240358650755457,0.000321334517166649,0.000878701194875764,0.000481986266789636
"8-9-10","1","2",0.000286046882106422,0.00638013317295492,0.0536213582387166,0.0748165183024576,0.0267854992826142,0.191190825324577,0.646919618796573
"11","1","2",0.00338107988414334,0.0703237670840362,0.358330179373966,0.217348719597944,0.0466877505593615,0.170082072594557,0.133846430905991
"12-1-2","1","2",0.171146441069709,0.657707276288583,0.150003688881266,0.0123497110225056,0.00167010541239365,0.00459029225053642,0.00253248507500603
