"Nb_Inflorescences","Burst_Month","Position_A","probability","number"
"1","10","0",0.0671365225824715,23
"2","10","0",0.164880891256297,1
"3","10","0",0.0984794476866104,0
"4","10","0",0.1512006741853,0
"5","10","0",0.497524955736444,0
"6","10","0",0.458634208107575,0
"1","12","0",0.173936031846446,51
"2","12","0",0.366141710410722,0
"3","12","0",0.242193897816613,0
"4","12","0",0.342613571459564,1
"5","12","0",0.743386644561396,0
"6","12","0",0.712530063838322,0
"1","1-2","0",0.290709615825887,131
"2","1-2","0",0.5292763545563,5
"3","1-2","0",0.383517561024063,2
"4","1-2","0",0.503593855727708,0
"5","1-2","0",0.849372799760973,0
"6","1-2","0",0.828317303197402,0
"1","3-4-5","0",0.25807931696947,41
"2","3-4-5","0",0.488303203355513,0
"3","3-4-5","0",0.34554506200358,0
"4","3-4-5","0",0.462654784587882,0
"5","3-4-5","0",0.827163316791595,0
"6","3-4-5","0",0.80372068219045,0
"1","10","1",0.143442238676594,9
"2","10","1",0.314792144447753,0
"3","10","1",0.202669351586364,0
"4","10","1",0.293038228163563,0
"5","10","1",0.697335368884237,0
"6","10","1",0.663448292298317,0
"1","12","1",0.328838451108869,23
"2","12","1",0.573399910831274,5
"3","12","1",0.426499511669318,2
"4","12","1",0.548069211082078,5
"5","12","1",0.870815345765423,5
"6","12","1",0.852235759832401,4
"1","1-2","1",0.488152523710238,152
"2","1-2","1",0.723478223649682,35
"3","1-2","1",0.591434071163533,20
"4","1-2","1",0.702434339018767,7
"5","1-2","1",0.929184645778351,5
"6","1-2","1",0.918211391104342,5
"1","3-4-5","1",0.447337534611148,31
"2","3-4-5","1",0.689492041970005,0
"3","3-4-5","1",0.551284431344667,1
"4","3-4-5","1",0.667052019950952,0
"5","3-4-5","1",0.91760153152275,0
"6","3-4-5","1",0.905016880695504,0
