"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0",0.67256695945118,134
"1-2","0","0",0.027446395266195,109
"3","0","0",9.5890500364203e-10,85
"8-9-10-11-12","1","0",0.864190089506574,149
"1-2","1","0",0.080396505079727,101
"3","1","0",2.97057399711533e-09,68
"8-9-10-11-12","0","1",0.790141992989882,65
"1-2","0","1",0.049185181596925,329
"3","0","1",1.75768949238884e-09,456
"8-9-10-11-12","1","1",0.921035485022313,10
"1-2","1","1",0.138118180527702,38
"3","1","1",5.44511361658576e-09,46
"8-9-10-11-12","0","2",0.339275257487617,44
"1-2","0","2",0.0070054689621247,202
"3","0","2",2.39714429060007e-10,451
"8-9-10-11-12","1","2",0.614008373045844,1
"1-2","1","2",0.0213877835753169,2
"3","1","2",7.42606877708210e-10,13
