Date;Pluie;Tmax;Tmin;Hum;Etp;Tmoy;Vt;RG;Tmin<15;Mois;Annee
01/01/95;0;28.6;19.4;76;4.5;23.6;137;2059;0;1;1995
02/01/95;0;29.8;21.1;72;5;24.7;135;2315;0;1;1995
03/01/95;0;28.8;20.7;74;4.5;24.5;144;2031;0;1;1995
04/01/95;0;30.9;20.9;72;5.3;25.5;168;2399;0;1;1995
05/01/95;42;25.8;23.1;86;4.8;23.8;395;2336;0;1;1995
06/01/95;7.5;29.1;22;79;4.6;24.6;412;1458;0;1;1995
07/01/95;0.5;30.9;22.1;75;5.2;25.4;299;1853;0;1;1995
08/01/95;71.5;29;23;82;5.6;25.1;346;2726;0;1;1995
09/01/95;11.5;28;22.4;97;3.4;24.2;241;1669;0;1;1995
10/01/95;1.5;32.3;22.1;77;6.3;27;245;3031;0;1;1995
11/01/95;4.5;28.3;22.2;85;3.7;23.8;122;1411;0;1;1995
12/01/95;0;27.1;20.8;75;6.4;23.8;166;3164;0;1;1995
13/01/95;0;28.4;18.4;71;5.4;23.5;195;2555;0;1;1995
14/01/95;0;28.4;19;74;4.7;24;141;2238;0;1;1995
15/01/95;0.5;29;20.5;85;4.2;24.7;114;2072;0;1;1995
16/01/95;0;30.5;21.6;86;4.6;24.9;144;2179;0;1;1995
17/01/95;0;28.7;20.2;81;4.6;24.5;150;2185;0;1;1995
18/01/95;1.5;28.6;21.6;84;3.8;24.6;113;1738;0;1;1995
19/01/95;0;30.3;20.9;77;6.1;25.1;132;3012;0;1;1995
20/01/95;0;29.2;21.6;79;4.8;24.9;146;2238;0;1;1995
21/01/95;0;30;20.8;80;4.7;25;122;2190;0;1;1995
22/01/95;0;30.3;21.6;80;4.4;25.5;128;2059;0;1;1995
23/01/95;0;31;21.8;77;5.9;25.5;140;2593;0;1;1995
24/01/95;0.5;30;20.7;77;4.6;24.8;134;2047;0;1;1995
25/01/95;0;30.8;21.1;76;5.8;25.6;140;2829;0;1;1995
26/01/95;0;29.8;22.6;78;5.5;25.2;158;2557;0;1;1995
27/01/95;0;30.6;20;68;6.6;24.3;188;2992;0;1;1995
28/01/95;0;27.6;20;72;4.8;23.7;175;2094;0;1;1995
29/01/95;0;29.4;19.9;75;5.8;24.4;153;2949;0;1;1995
30/01/95;0;29.8;20.5;78;4.7;24.5;121;2162;0;1;1995
31/01/95;0;31.9;20.8;77;5.4;25.9;137;2528;0;1;1995
01/02/95;0;29.7;23.8;86;3.1;25.7;102;1319;0;2;1995
02/02/95;0;30.6;23.1;77;4.4;25.9;120;1858;0;2;1995
03/02/95;0;30.6;20.2;74;5.4;25.1;153;2483;0;2;1995
04/02/95;0;29.6;20.8;79;3.8;24.5;123;1566;0;2;1995
05/02/95;0;29.6;22.1;74;4.5;25.4;122;2076;0;2;1995
06/02/95;0;30;21.2;79;4.5;25;142;2066;0;2;1995
07/02/95;0;29.4;21.4;78;4.7;25;150;2177;0;2;1995
08/02/95;0;30.3;20.2;78;4.6;25.2;147;2150;0;2;1995
09/02/95;0;30.9;21.2;80;6.2;25.8;178;3098;0;2;1995
10/02/95;0;30.4;22.2;83;4.9;25.7;114;2391;0;2;1995
11/02/95;0;30.5;21.3;82;4.7;25.7;130;2223;0;2;1995
12/02/95;0;30.7;23.3;79;4;26.3;129;1718;0;2;1995
13/02/95;10.5;30.7;23.5;83;4;26;125;1691;0;2;1995
14/02/95;0;30.5;22.7;84;4.4;25.6;125;1954;0;2;1995
