"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.999999999644677
"2","0","0","0",0.0389967600952914
"3","0","0","0",2.96916867262796e-09
"8","0","0","0",0.731847732527894
"9","0","0","0",0.237486323039127
"10","0","0","0",0.999999999644675
"11","0","0","0",0.968690498869923
"12","0","0","0",0.945357167521003
"1","1","0","0",0.999999998091354
"2","1","0","0",0.00749778757511838
"3","1","0","0",5.52755209461124e-10
"8","1","0","0",0.336907843725016
"9","1","0","0",0.0548038278251962
"10","1","0","0",0.999999998091345
"11","1","0","0",0.852066473129208
"12","1","0","0",0.763076813060396
"1","0","1","0",0.999999999636123
"2","0","1","0",0.0381149749167499
"3","0","1","0",2.89937019137839e-09
"8","0","1","0",0.727153658098262
"9","0","1","0",0.233205485907761
"10","0","1","0",0.999999999636121
"11","0","1","0",0.9679609132373
"12","0","1","0",0.944115227819491
"1","1","1","0",0.999999998045406
"2","1","1","0",0.00732282213492186
"3","1","1","0",5.39761176966477e-10
"8","1","1","0",0.331614264720336
"9","1","1","0",0.0535845467849906
"10","1","1","0",0.999999998045397
"11","1","1","0",0.849042774615763
"12","1","1","0",0.75874920303355
"1","0","0","1",0.999999999782146
"2","0","0","1",0.0620766738871751
"3","0","0","1",4.84275274741535e-09
"8","0","0","1",0.816560905431348
"9","0","0","1",0.336862146685238
"10","0","0","1",0.999999999782145
"11","0","0","1",0.980568267852632
"12","0","0","1",0.96577405949883
"1","1","0","1",0.999999998829779
"2","1","0","1",0.0121714037736147
"3","1","0","1",9.01550941859562e-10
"8","1","0","1",0.453161920197132
"9","1","0","1",0.0863979488826006
"10","1","0","1",0.999999998829774
"11","1","0","1",0.903793398842483
"12","1","0","1",0.840080078664697
"1","0","1","1",0.999999999776901
"2","0","1","1",0.0607059780247449
"3","0","1","1",4.72891051631057e-09
"8","0","1","1",0.812970783976216
"9","0","1","1",0.331568926657388
"10","0","1","1",0.9999999997769
"11","0","1","1",0.980109779251836
"12","0","1","1",0.964978970865511
"1","1","1","1",0.999999998801607
"2","1","1","1",0.011888683047411
"3","1","1","1",8.80357505724364e-10
"8","1","1","1",0.447273828817072
"9","1","1","1",0.0845386270835453
"10","1","1","1",0.999999998801602
"11","1","1","1",0.901705008585113
"12","1","1","1",0.836858291880563
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
