"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",2.58198246819037
"8","0","0","0",0.606183722379658
"9","0","0","0",3.43447734713329e-07
"10","0","0","0",2.58198246819037
"11","0","0","0",1.48703732017419
"12","0","0","0",1.13171822486089
"1","1","0","0",2.02671126048052
"8","1","0","0",0.475820185149401
"9","1","0","0",2.69587187328148e-07
"10","1","0","0",2.02671126048052
"11","1","0","0",1.16724079992072
"12","1","0","0",0.888335261092666
"1","0","1","0",1.72197266418156
"8","0","1","0",0.404275324201246
"9","0","1","0",2.29051753076361e-07
"10","0","1","0",1.72197266418156
"11","0","1","0",0.991733153692725
"12","0","1","0",0.754764166982268
"1","1","1","0",1.35165185346219
"8","1","1","0",0.317333429636854
"9","1","1","0",1.79792765021376e-07
"10","1","1","0",1.3516518534622
"11","1","1","0",0.778454840318733
"12","1","1","0",0.592447491443376
"1","0","0","1",2.5479529507111
"8","0","0","1",0.59819445838174
"9","0","0","1",3.38921228110117e-07
"10","0","0","1",2.5479529507111
"11","0","0","1",1.46743875081804
"12","0","0","1",1.11680262199023
"1","1","0","1",2
"8","1","0","1",0.46954906150429
"9","1","0","1",2.66034133805751e-07
"10","1","0","1",2
"11","1","0","1",1.1518570234262
"12","1","0","1",0.876627350342988
"1","0","1","1",1.69927773902366
"8","0","1","1",0.398947133796845
"9","0","1","1",2.26032940698277e-07
"10","0","1","1",1.69927773902366
"11","0","1","1",0.978662499223095
"12","0","1","1",0.744816670928566
"1","1","1","1",1.33383761152216
"8","1","1","1",0.313151099344676
"9","1","1","1",1.77423166809414e-07
"10","1","1","1",1.33383761152216
"11","1","1","1",0.768195110470909
"12","1","1","1",0.584639265588243
"2","0","0","0",0
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"2","1","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"2","0","1","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"2","1","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"2","0","0","1",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"2","1","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"2","0","1","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"2","1","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
