"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","1","0","0","0",0.94953242569962
"1","1","0","0","0",0.876723379551863
"0","2","0","0","0",0.438549754461622
"1","2","0","0","0",0.227949159515023
"0","8","0","0","0",0.733800138551831
"1","8","0","0","0",0.510276407950253
"0","9","0","0","0",0.711080263551453
"1","9","0","0","0",0.48194747457275
"0","10","0","0","0",0.596742206210803
"1","10","0","0","0",0.35870971855636
"0","11","0","0","0",0.843803283150589
"1","11","0","0","0",0.671267921943491
"0","12","0","0","0",0.607785205812121
"1","12","0","0","0",0.36938269032078
"0","1","1","0","0",0.806251359640905
"1","1","1","0","0",0.611341821451044
"0","2","1","0","0",0.147310278774742
"1","2","1","0","0",0.0612990547770586
"0","8","1","0","0",0.37875983473638
"1","8","1","0","0",0.187293471474115
"0","9","1","0","0",0.352477135525557
"1","9","1","0","0",0.170647359595027
"0","10","1","0","0",0.24658757576121
"1","10","1","0","0",0.110094766160496
"0","11","1","0","0",0.544382487610869
"1","11","1","0","0",0.311121915973782
"0","12","1","0","0",0.255252338378582
"1","12","1","0","0",0.114693482949145
"0","1","0","1","0",0.942865107797741
"1","1","0","1","0",0.861836800021028
"0","2","0","1","0",0.406565859489309
"1","2","0","1","0",0.205697422544843
"0","8","0","1","0",0.707414304298825
"1","8","0","1","0",0.477510435547805
"0","9","0","1","0",0.68341401596743
"1","9","0","1","0",0.449331537216189
"0","10","0","1","0",0.564827714246451
"1","10","0","1","0",0.329135170394308
"0","11","0","1","0",0.825731544205461
"1","11","0","1","0",0.641710249710637
"0","12","0","1","0",0.576123885619055
"1","12","0","1","0",0.339393891128221
"0","1","1","1","0",0.784942238864268
"1","1","1","1","0",0.579769098232771
"0","2","1","1","0",0.131588614766714
"1","2","1","1","0",0.0541737227907759
"0","8","1","1","0",0.348430373178171
"1","8","1","1","0",0.16814607815765
"0","9","1","1","0",0.323157503194797
"1","9","1","1","0",0.152881605951685
"0","10","1","1","0",0.2230420352402
"1","10","1","1","0",0.0978889556397646
"0","11","1","1","0",0.51171485937519
"1","11","1","1","0",0.283734924203863
"0","12","1","1","0",0.231133257387691
"1","12","1","1","0",0.102036287725629
"0","1","0","0","1",0.969101213240707
"1","1","0","0","1",0.92221101644487
"0","2","0","0","1",0.565610382918757
"1","2","0","0","1",0.329838787027439
"0","8","0","0","1",0.821273988841604
"1","8","0","0","1",0.634628447149495
"0","9","0","0","1",0.804026043508484
"1","9","0","0","1",0.607966382071257
"0","10","0","0","1",0.711549738736343
"1","10","0","0","1",0.482518319004889
"0","11","0","0","1",0.900053275478987
"1","11","0","0","1",0.772931513768364
"0","12","0","0","1",0.720919135973259
"1","12","0","0","1",0.494037159332821
"0","1","1","0","1",0.874005388278605
"1","1","1","0","1",0.723915861778512
"0","2","1","0","1",0.223594440585757
"1","2","1","0","1",0.0981705608073835
"0","8","1","0","1",0.504049429230349
"1","8","1","0","1",0.277543441835083
"0","9","1","0","1",0.475730373845412
"1","9","1","0","1",0.255396856546656
"0","10","1","0","1",0.352999121580756
"1","10","1","0","1",0.170971171108317
"0","11","1","0","1",0.665747089210408
"1","11","1","0","1",0.429506238943513
"0","12","1","0","1",0.363598518040659
"1","12","1","0","1",0.177605233540096
"0","1","0","1","1",0.964923645088585
"1","1","0","1","1",0.912267738461588
"0","2","0","1","1",0.533159553654193
