"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","1","0","0","0",4.65589607676094
"1","1","0","0","0",2.74564856265229
"0","2","0","0","0",5.82826533233075
"1","2","0","0","0",3.43701149438085
"0","8","0","0","0",2.24011795292663
"1","8","0","0","0",1.32102962270229
"0","9","0","0","0",2.97631572918726
"1","9","0","0","0",1.75517598956537
"0","10","0","0","0",3.56355451173751
"1","10","0","0","0",2.10147910558433
"0","11","0","0","0",2.54187295937187
"1","11","0","0","0",1.49897886943374
"0","12","0","0","0",0.963152363316177
"1","12","0","0","0",0.567984735560066
"0","1","1","0","0",2.79249525473089
"1","1","1","0","0",1.64677442450545
"0","2","1","0","0",3.49565433066298
"1","2","1","0","0",2.06143739685684
"0","8","1","0","0",1.34356924004562
"1","8","1","0","0",0.792322013192669
"0","9","1","0","0",1.78512308120899
"1","9","1","0","0",1.05271263388866
"0","10","1","0","0",2.13733487602343
"1","10","1","0","0",1.26041697097821
"0","11","1","0","0",1.52455468510217
"1","11","1","0","0",0.899051720833869
"0","12","1","0","0",0.577675781374911
"1","12","1","0","0",0.340663677337595
"0","1","0","1","0",3.63325647438925
"1","1","0","1","0",2.14258335069925
"0","2","0","1","0",4.54812186613081
"1","2","0","1","0",2.68209256792453
"0","8","0","1","0",1.74808950236029
"1","8","0","1","0",1.03087340232949
"0","9","0","1","0",2.32258585986721
"1","9","0","1","0",1.36966212790071
"0","10","0","1","0",2.7808411717421
"1","10","0","1","0",1.63990184494619
"0","11","0","1","0",1.98356583447148
"1","11","0","1","0",1.16973716606915
"0","12","0","1","0",0.751601732974309
"1","12","0","1","0",0.443230300634959
"0","1","1","1","0",2.17914044830026
"1","1","1","1","0",1.28507031536999
"0","2","1","1","0",2.7278548575216
"1","2","1","1","0",1.60865505698503
"0","8","1","1","0",1.04846232813298
"1","8","1","1","0",0.618293242970337
"0","9","1","1","0",1.39303152077577
"1","9","1","1","0",0.82149062816028
"0","10","1","1","0",1.66788211081645
"1","10","1","1","0",0.983573955418376
"0","11","1","1","0",1.18969540747598
"1","11","1","1","0",0.701580411520463
"0","12","1","1","0",0.450792766456766
"1","12","1","1","0",0.265838947190835
"0","1","0","0","1",5.64641943997428
"1","1","0","0","1",3.32977436865014
"0","2","0","0","1",7.06820558948017
"1","2","0","0","1",4.16822201297676
"0","8","0","0","1",2.71669413335356
"1","8","0","0","1",1.60207341818448
"0","9","0","0","1",3.60951505697602
"1","9","0","0","1",2.1285826970074
"0","10","0","0","1",4.32168655372586
"1","10","0","0","1",2.54856042292208
"0","11","0","0","1",3.08264631665214
"1","11","0","0","1",1.81788065904803
"0","12","0","0","1",1.16805919595805
"1","12","0","0","1",0.688821227879756
"0","1","1","0","1",3.38658750805232
"1","1","1","0","1",1.99711913034125
"0","2","1","0","1",4.2393408793216
"1","2","1","0","1",2.50000000000002
"0","8","1","0","1",1.62940824942613
"1","8","1","0","1",0.960885368627688
"0","9","1","0","1",2.16490091323032
"1","9","1","0","1",1.27667305770937
"0","10","1","0","1",2.59204436584193
"1","10","1","0","1",1.52856566600085
"0","11","1","0","1",1.84889762772657
"1","11","1","0","1",1.09032139686208
"0","12","1","0","1",0.700574005128318
"1","12","1","0","1",0.413138519094761
"0","1","0","1","1",4.40621733156808
"1","1","0","1","1",2.59840943261988
"0","2","0","1","1",5.51571669489644
