"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"2","0","0","0",0.691319082069904
"3","0","0","0",0.756649888723265
"8","0","0","0",0.610669557196976
"9","0","0","0",6.47861593224594e-07
"11","0","0","0",0.296726825751754
"12","0","0","0",4.84259533010908e-07
"2","1","0","0",0.603012339631678
"3","1","0","0",0.678336726246687
"8","1","0","0",0.515461726540769
"9","1","0","0",4.39402734465776e-07
"11","1","0","0",0.222493455939725
"12","1","0","0",3.28441991345296e-07
"2","0","1","0",0.685867579552213
"3","0","1","0",0.751938164789314
"8","0","1","0",0.604608356444688
"9","0","1","0",6.31598360672542e-07
"11","0","1","0",0.291449027059567
"12","0","1","0",4.72103191688327e-07
"2","1","1","0",0.596910616877433
"3","1","1","0",0.67276447502918
"8","1","1","0",0.509109796577362
"9","1","1","0",4.28372430490923e-07
"11","1","1","0",0.218126501644969
"12","1","1","0",3.20197128238223e-07
"2","0","0","1",0.62305385918808
"3","0","0","1",0.696489547428183
"8","0","0","1",0.536526021439282
"9","0","0","1",4.78145239109187e-07
"11","0","0","1",0.237452684052982
"12","0","0","1",3.57400998454543e-07
"2","1","0","1",0.528536391302834
"3","1","0","1",0.60882499707695
"8","1","0","1",0.439819142858412
"9","1","0","1",3.24295059717071e-07
"11","1","0","1",0.174371463135703
"12","1","0","1",2.4240202380704e-07
"2","0","1","1",0.617064559226184
"3","0","1","1",0.691088555691048
"8","0","1","1",0.530198552051477
"9","0","1","1",4.66142384509948e-07
"11","0","1","1",0.232880062437323
"12","0","1","1",3.48429179073815e-07
"2","1","1","1",0.522196983440087
"3","1","1","1",0.602753760138341
"8","1","1","1",0.433565271960727
"9","1","1","1",3.16154296797186e-07
"11","1","1","1",0.170741600397883
"12","1","1","1",2.36317017250415e-07
"1","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"10","0","0","0",0
"1","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"10","1","0","0",0
"1","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"10","0","1","0",0
"1","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"10","1","1","0",0
"1","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"10","0","0","1",0
"1","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"10","1","0","1",0
"1","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"10","0","1","1",0
"1","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"10","1","1","1",0
