"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"2","0","0","0",1.29491603056255e-06
"9","0","0","0",0.553259368142297
"10","0","0","0",0.355181747623057
"12","0","0","0",0.5324255234312
"2","1","0","0",1.01929488710244e-07
"9","1","0","0",0.0888245568217148
"10","1","0","0",0.0415563708124275
"12","1","0","0",0.0822594344150784
"2","0","1","0",1.47004203660241e-06
"9","0","1","0",0.58435910551075
"10","0","1","0",0.384736119545942
"12","0","1","0",0.563832210755967
"2","1","1","0",1.1571457439122e-07
"9","1","1","0",0.0996403591859162
"10","1","1","0",0.0469128558819397
"12","1","1","0",0.0923568568222176
"2","0","0","1",2.20639763131071e-06
"9","0","0","1",0.678473387932626
"10","0","0","1",0.484149647720135
"12","0","0","1",0.659889222539681
"2","1","0","1",1.73677030785837e-07
"9","1","0","1",0.142441733816933
"10","1","0","1",0.0687952999271989
"12","1","0","1",0.13248993417262
"2","0","1","1",2.50479319979667e-06
"9","0","1","1",0.705496362663219
"10","0","1","1",0.515850352279835
"12","0","1","1",0.687755296770894
"2","1","1","1",1.97165351834915e-07
"9","1","1","1",0.158649526360646
"10","1","1","1",0.0773793376841422
"12","1","1","1",0.147760468509742
"1","0","0","0",0
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"11","0","0","0",0
"1","1","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"11","1","0","0",0
"1","0","1","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"11","0","1","0",0
"1","1","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"11","1","1","0",0
"1","0","0","1",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"11","0","0","1",0
"1","1","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"11","1","0","1",0
"1","0","1","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"11","0","1","1",0
"1","1","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"11","1","1","1",0
