"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"03-09","0","0","0",0.983679266118391
"03-10","0","0","0",0.404594406912376
"03-12","0","0","0",0.971248002108457
"04-02","0","0","0",0.0094644889774496
"04-03","0","0","0",1.64986010075879e-07
"04-05","0","0","0",4.71406965569124e-08
"03-09","1","0","0",0.894614387837968
"03-10","1","0","0",0.0873479873646211
"03-12","1","0","0",0.826321446885339
"04-02","1","0","0",0.00134395206334892
"04-03","1","0","0",2.32374197741199e-08
"04-05","1","0","0",6.63952078678855e-09
"03-09","0","1","0",0.958379610223666
"03-10","0","1","0",0.206104657978792
"03-12","0","1","0",0.928086756579904
"04-02","0","1","0",0.00363715853093436
"04-03","0","1","0",6.30325319349124e-08
"04-05","0","1","0",1.80099951711395e-08
"03-09","1","1","0",0.764328150167394
"03-10","1","1","0",0.0352751399202058
"03-12","1","1","0",0.645099672199765
"04-02","1","1","0",0.000513880570226919
"04-03","1","1","0",8.87780288173297e-09
"04-05","1","1","0",2.53661364913458e-09
"03-09","0","0","1",0.987906551758072
"03-10","0","0","1",0.479437342290566
"03-12","0","0","1",0.978625183474679
"04-02","0","0","1",0.0127847098050711
"04-03","0","0","1",2.23613992559541e-07
"04-05","0","0","1",6.38922039857462e-08
"03-09","1","0","1",0.920035343854057
"03-10","1","0","1",0.114823187101896
"03-12","1","0","1",0.865743712883446
"04-02","1","0","1",0.0018206576951634
"04-03","1","0","1",3.14948671818856e-08
"04-05","1","0","1",8.99888320636698e-09
"03-09","0","1","1",0.968953016188625
"03-10","0","1","1",0.260281328854724
"03-12","0","1","1",0.945921631964643
"04-02","0","1","1",0.0049232644298307
"04-03","0","1","1",8.54312231156482e-08
"04-05","0","1","1",2.44098704773938e-08
"03-09","1","1","1",0.814665837729867
"03-10","1","1","1",0.0472183224168252
"03-12","1","1","1",0.71128405426103
"04-02","1","1","1",0.000696361545191015
"04-03","1","1","1",1.20325417697746e-08
"04-05","1","1","1",3.43800264123581e-09
"03-05","0","0","0",0
"03-06","0","0","0",0
"03-07","0","0","0",0
"03-08","0","0","0",0
"03-11","0","0","0",0
"04-01","0","0","0",0
"04-04","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"03-05","1","0","0",0
"03-06","1","0","0",0
"03-07","1","0","0",0
"03-08","1","0","0",0
"03-11","1","0","0",0
"04-01","1","0","0",0
"04-04","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"03-05","0","1","0",0
"03-06","0","1","0",0
"03-07","0","1","0",0
"03-08","0","1","0",0
"03-11","0","1","0",0
"04-01","0","1","0",0
"04-04","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"03-05","1","1","0",0
"03-06","1","1","0",0
"03-07","1","1","0",0
"03-08","1","1","0",0
"03-11","1","1","0",0
"04-01","1","1","0",0
"04-04","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"03-05","0","0","1",0
"03-06","0","0","1",0
"03-07","0","0","1",0
"03-08","0","0","1",0
"03-11","0","0","1",0
"04-01","0","0","1",0
"04-04","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"03-05","1","0","1",0
"03-06","1","0","1",0
"03-07","1","0","1",0
"03-08","1","0","1",0
"03-11","1","0","1",0
"04-01","1","0","1",0
"04-04","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"03-05","0","1","1",0
"03-06","0","1","1",0
"03-07","0","1","1",0
"03-08","0","1","1",0
"03-11","0","1","1",0
"04-01","0","1","1",0
"04-04","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"03-05","1","1","1",0
"03-06","1","1","1",0
"03-07","1","1","1",0
"03-08","1","1","1",0
"03-11","1","1","1",0
"04-01","1","1","1",0
"04-04","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
