"burst_date_mother","position_mother_L","nature_mother_V","8","9","10","11","2","3"
"2","0","0",0.0365829573184368,0.0146877946694014,0.0149100858844689,0.0678974160240899,0.339913828151457,0.526007917952146
"3","0","0",0.090566646824678,0.033569165900909,0.0325993369089874,0.132068247636515,0.413866145332588,0.297330457396322
"5","0","0",4.70078512729179e-10,1.98932569647613e-10,2.08343995220906e-10,1.03948381618328e-09,9.23854999937096e-09,0.999999988844611
"10","0","0",4.70078512730004e-10,1.98932569647965e-10,2.08343995221269e-10,1.03948381618511e-09,9.23854999938721e-09,0.999999988844611
"12","0","0",0.0125102781802547,0.00520046114058363,0.00538809192285374,0.0260229918297775,0.182026713312284,0.768851463614246
"2","1","0",0.0554863334991367,0.021669548817188,0.0216537568680408,0.0944448361358513,0.389051005525639,0.417694519154145
"3","1","0",0.133499469419549,0.046335745085889,0.0434968483379714,0.162508045633066,0.399390574876097,0.214769316647427
"5","1","0",7.27249942918455e-10,3.07764971063988e-10,3.22325216830076e-10,1.60816656058958e-09,1.42927930791019e-08,0.9999999827417
"10","1","0",7.27249942919731e-10,3.07764971064532e-10,3.22325216830638e-10,1.60816656059241e-09,1.42927930791271e-08,0.9999999827417
"12","1","0",0.0192228604536033,0.00791416645917252,0.00815280021137934,0.0387168251142714,0.243453893840686,0.682539453920888
"2","0","1",0.903208070058538,0.0267659426323891,0.0157259984781848,0.0286923234954526,0.0211121421911381,0.00449552314429702
"3","0","1",0.960742258700711,0.0113476074876989,0.00648577553764706,0.0115029601797708,0.0082024730727589,0.00171892502141358
"5","0","1",1.15519293541832e-07,4.88866126042851e-08,5.11994148850743e-08,2.55447472153076e-07,2.27031750807213e-06,0.999997258629699
"10","0","1",1.15519293542035e-07,4.88866126043715e-08,5.11994148851636e-08,2.55447472153526e-07,2.27031750807612e-06,0.999997258629699
"12","0","1",0.756885175359286,0.0589796560544467,0.0373059686909593,0.0738100157977943,0.059664664972273,0.0133545191252407
"2","1","1",0.93521848135788,0.018368945328792,0.0106271036020628,0.0190819756629158,0.0137930591063283,0.00291043494202159
"3","1","1",0.974267421890075,0.00751224797215477,0.00426637505717797,0.0075184009469127,0.00532380268660582,0.00111175144707398
"5","1","1",1.78717793031499e-07,7.56315803163388e-08,7.92096699017825e-08,3.95198003677368e-07,3.51236087622138e-06,0.999995758882077
"10","1","1",1.78717793031813e-07,7.56315803164725e-08,7.92096699019205e-08,3.95198003678064e-07,3.51236087622755e-06,0.999995758882077
"12","1","1",0.828075397523314,0.0446139075711727,0.02720585629713,0.0516558188534247,0.0397759917228658,0.00867302803209313
"04-07","0","0",0,0,0,0,0,0
"04-08","0","0",0,0,0,0,0,0
"04-09","0","0",0,0,0,0,0,0
"04-10","0","0",0,0,0,0,0,0
"04-11","0","0",0,0,0,0,0,0
"04-12","0","0",0,0,0,0,0,0
"05-01","0","0",0,0,0,0,0,0
"05-02","0","0",0,0,0,0,0,0
"05-03","0","0",0,0,0,0,0,0
"05-04","0","0",0,0,0,0,0,0
"05-05","0","0",0,0,0,0,0,0
"05-06","0","0",0,0,0,0,0,0
"05-07","0","0",0,0,0,0,0,0
"04-07","1","0",0,0,0,0,0,0
"04-08","1","0",0,0,0,0,0,0
"04-09","1","0",0,0,0,0,0,0
"04-10","1","0",0,0,0,0,0,0
"04-11","1","0",0,0,0,0,0,0
"04-12","1","0",0,0,0,0,0,0
"05-01","1","0",0,0,0,0,0,0
"05-02","1","0",0,0,0,0,0,0
"05-03","1","0",0,0,0,0,0,0
"05-04","1","0",0,0,0,0,0,0
"05-05","1","0",0,0,0,0,0,0
"05-06","1","0",0,0,0,0,0,0
"05-07","1","0",0,0,0,0,0,0
"04-07","0","1",0,0,0,0,0,0
"04-08","0","1",0,0,0,0,0,0
"04-09","0","1",0,0,0,0,0,0
"04-10","0","1",0,0,0,0,0,0
"04-11","0","1",0,0,0,0,0,0
"04-12","0","1",0,0,0,0,0,0
"05-01","0","1",0,0,0,0,0,0
"05-02","0","1",0,0,0,0,0,0
"05-03","0","1",0,0,0,0,0,0
"05-04","0","1",0,0,0,0,0,0
"05-05","0","1",0,0,0,0,0,0
"05-06","0","1",0,0,0,0,0,0
"05-07","0","1",0,0,0,0,0,0
"04-07","1","1",0,0,0,0,0,0
"04-08","1","1",0,0,0,0,0,0
"04-09","1","1",0,0,0,0,0,0
"04-10","1","1",0,0,0,0,0,0
"04-11","1","1",0,0,0,0,0,0
"04-12","1","1",0,0,0,0,0,0
"05-01","1","1",0,0,0,0,0,0
"05-02","1","1",0,0,0,0,0,0
"05-03","1","1",0,0,0,0,0,0
"05-04","1","1",0,0,0,0,0,0
"05-05","1","1",0,0,0,0,0,0
"05-06","1","1",0,0,0,0,0,0
"05-07","1","1",0,0,0,0,0,0
