"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","2","3","5","12"
"2","0","0","0",0.0584664169306748,0.0579584496451201,0.0314922917719461,0.852082841652259
"9","0","0","0",0.06957552541813,0.0673692735615941,0.0359566720322065,0.827098528988069
"10","0","0","0",4.07792341284007e-12,4.57515551331131e-12,2.74692854589617e-12,0.9999999999886
"12","0","0","0",0.940555252043189,0.0305212365573514,0.00681528522001995,0.0221082261794393
"2","1","0","0",0.0867570062572691,0.0810062009099955,0.0420810086706678,0.790155784162068
"9","1","0","0",0.102655477882836,0.0926757428688214,0.0469826693163237,0.757686109932019
"10","1","0","0",6.23859236409617e-12,6.99928060441115e-12,4.20237599289915e-12,0.99999999998256
"12","1","0","0",0.960326497322903,0.0205760304697906,0.00453468444670468,0.0145627877606022
"2","0","1","0",0.0324213840386422,0.0339600126269168,0.0192679653015758,0.914350638032865
"9","0","1","0",0.0387855783567655,0.0400828625545228,0.0224989437656006,0.898632615323111
"10","0","1","0",2.20046107215814e-12,2.46876917169464e-12,1.48225180351763e-12,0.999999999993848
"12","0","1","0",0.895153904344184,0.0525355785344848,0.0120977952215894,0.0402127218997418
"2","1","1","0",0.0487620549117871,0.0493407590941402,0.027239326510193,0.87465785948388
"9","1","1","0",0.0581411176264674,0.0576756435716563,0.0313552005880441,0.852828038213832
"10","1","1","0",3.3663652434094e-12,3.77683515456238e-12,2.26761609939594e-12,0.999999999990589
"12","1","1","0",0.92888382219406,0.0362919248742355,0.00816751729717202,0.0266567356345325
"2","0","0","1",0.21210207010867,0.151451493949205,0.0658524984941312,0.570593937447993
"9","0","0","1",0.244812864647699,0.162727160760036,0.0678684921670668,0.524591482425198
"10","0","0","1",1.76784159830689e-11,1.98339924910174e-11,1.19083515287774e-11,0.999999999950579
"12","0","0","1",0.985630585744291,0.00754571869024545,0.0016356971064253,0.00518799845903828
"2","1","0","1",0.29170157219885,0.174647639681152,0.0688156056147722,0.464835182505225
"9","1","0","1",0.33152300123918,0.181229861074829,0.068208548788135,0.419038588897856
"10","1","0","1",2.70452433248823e-11,3.03429421236912e-11,1.82179367761599e-11,0.999999999924394
"12","1","0","1",0.99056029838676,0.00496875290914744,0.00107365308185903,0.00339729562223312
"2","0","1","1",0.126836728587988,0.108774287492529,0.0531938091924582,0.711195174727025
"9","0","1","1",0.148882542310716,0.121819201130228,0.057712419181881,0.671585837377175
"10","0","1","1",9.53933221647056e-12,1.07024884885201e-11,6.42578619577354e-12,0.999999999973332
"12","0","1","1",0.973692941523282,0.013734494376401,0.00300046767551432,0.00957209642480294
"2","1","1","1",0.181821480689307,0.138623433873439,0.0627453178599904,0.616809767577264
"9","1","1","1",0.21111363041627,0.151070141125881,0.0657712182456866,0.572045010212163
"10","1","1","1",1.45937034856254e-11,1.63731527547005e-11,9.83045943607806e-12,0.999999999959203
"12","1","1","1",0.982645991294865,0.00909987455405281,0.00197641789904879,0.00627771625203377
"1","0","0","0",0.25,0.25,0.25,0.25
"3","0","0","0",0.25,0.25,0.25,0.25
"4","0","0","0",0.25,0.25,0.25,0.25
"5","0","0","0",0.25,0.25,0.25,0.25
"6","0","0","0",0.25,0.25,0.25,0.25
"7","0","0","0",0.25,0.25,0.25,0.25
"8","0","0","0",0.25,0.25,0.25,0.25
"11","0","0","0",0.25,0.25,0.25,0.25
"1","1","0","0",0.25,0.25,0.25,0.25
"3","1","0","0",0.25,0.25,0.25,0.25
"4","1","0","0",0.25,0.25,0.25,0.25
"5","1","0","0",0.25,0.25,0.25,0.25
"6","1","0","0",0.25,0.25,0.25,0.25
"7","1","0","0",0.25,0.25,0.25,0.25
"8","1","0","0",0.25,0.25,0.25,0.25
"11","1","0","0",0.25,0.25,0.25,0.25
"1","0","1","0",0.25,0.25,0.25,0.25
"3","0","1","0",0.25,0.25,0.25,0.25
"4","0","1","0",0.25,0.25,0.25,0.25
"5","0","1","0",0.25,0.25,0.25,0.25
"6","0","1","0",0.25,0.25,0.25,0.25
"7","0","1","0",0.25,0.25,0.25,0.25
"8","0","1","0",0.25,0.25,0.25,0.25
"11","0","1","0",0.25,0.25,0.25,0.25
"1","1","1","0",0.25,0.25,0.25,0.25
"3","1","1","0",0.25,0.25,0.25,0.25
"4","1","1","0",0.25,0.25,0.25,0.25
"5","1","1","0",0.25,0.25,0.25,0.25
"6","1","1","0",0.25,0.25,0.25,0.25
"7","1","1","0",0.25,0.25,0.25,0.25
"8","1","1","0",0.25,0.25,0.25,0.25
"11","1","1","0",0.25,0.25,0.25,0.25
"1","0","0","1",0.25,0.25,0.25,0.25
"3","0","0","1",0.25,0.25,0.25,0.25
"4","0","0","1",0.25,0.25,0.25,0.25
"5","0","0","1",0.25,0.25,0.25,0.25
"6","0","0","1",0.25,0.25,0.25,0.25
"7","0","0","1",0.25,0.25,0.25,0.25
"8","0","0","1",0.25,0.25,0.25,0.25
"11","0","0","1",0.25,0.25,0.25,0.25
"1","1","0","1",0.25,0.25,0.25,0.25
