"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",1.65331317128346
"2","0","0","0",1.27532351986679
"3","0","0","0",1.22571890436581
"8","0","0","0",1.10270455435985
"11","0","0","0",1.24154923030826
"1","1","0","0",1.38269760166992
"2","1","0","0",1.06657758669166
"3","1","0","0",1.02509229275203
"8","1","0","0",0.922213026029568
"11","1","0","0",1.03833149878659
"1","0","1","0",1.59227874066764
"2","0","1","0",1.22824312019538
"3","0","1","0",1.18046973033006
"8","0","1","0",1.06199663175824
"11","0","1","0",1.1957156570509
"1","1","1","0",1.3316533335315
"2","1","1","0",1.02720334299603
"3","1","1","0",0.987249538273633
"8","1","1","0",0.888168207462915
"11","1","1","0",0.999999999999998
"1","0","0","1",1.5921901258255
"2","0","0","1",1.22817476497124
"3","0","0","1",1.18040403383099
"8","0","0","1",1.06193752862418
"11","0","0","1",1.19564911207263
"1","1","0","1",1.33157922323477
"2","1","0","1",1.02714617620747
"3","1","0","1",0.987194595027984
"8","1","0","1",0.888118778375224
"11","1","0","1",0.999944347154878
"1","0","1","1",1.53341214023282
"2","0","1","1",1.18283492931352
"3","0","1","1",1.13682772333347
"8","0","1","1",1.02273457933731
"11","0","1","1",1.15151000761307
"1","1","1","1",1.28242206346516
"2","1","1","1",0.989227599671022
"3","1","1","1",0.95075088849913
"8","1","1","1",0.855332597935334
"11","1","1","1",0.963029965211907
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"9","0","0","0",0
"10","0","0","0",0
"12","0","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"9","1","0","0",0
"10","1","0","0",0
"12","1","0","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"9","0","1","0",0
"10","0","1","0",0
"12","0","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"9","1","1","0",0
"10","1","1","0",0
"12","1","1","0",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"9","0","0","1",0
"10","0","0","1",0
"12","0","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"9","1","0","1",0
"10","1","0","1",0
"12","1","0","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"9","0","1","1",0
"10","0","1","1",0
"12","0","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"9","1","1","1",0
"10","1","1","1",0
"12","1","1","1",0
