"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.815655267744302
"2","0","0",0.867198738029018
"3","0","0",0.999999816310253
"4","0","0",0.829916892299077
"5","0","0",0.794002480580969
"10","0","0",0.21091625828071
"12","0","0",0.685416903718408
"1","1","0",0.632564535746315
"2","1","0",0.717575059747001
"3","1","0",0.999999527896808
"4","1","0",0.654999517161267
"5","1","0",0.599953835723673
"10","1","0",0.094203189089502
"12","1","0",0.458800950180274
"1","0","1",0.905206396886975
"2","0","1",0.933744925072932
"3","0","1",0.999999914887707
"4","0","1",0.913276610480593
"5","0","1",0.892688249369421
"10","0","1",0.36583321007703
"12","0","1",0.824632753647545
"1","1","1",0.787933092773734
"2","1","1",0.845762053089043
"3","1","1",0.999999781251856
"4","1","1",0.803823583509952
"5","1","1",0.763966385655384
"10","1","1",0.183309506476868
"12","1","1",0.646595158215255
"04-07","0","0",0
"04-08","0","0",0
"04-09","0","0",0
"04-10","0","0",0
"04-11","0","0",0
"04-12","0","0",0
"05-01","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-07","1","0",0
"04-08","1","0",0
"04-09","1","0",0
"04-10","1","0",0
"04-11","1","0",0
"04-12","1","0",0
"05-01","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-07","0","1",0
"04-08","0","1",0
"04-09","0","1",0
"04-10","0","1",0
"04-11","0","1",0
"04-12","0","1",0
"05-01","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-07","1","1",0
"04-08","1","1",0
"04-09","1","1",0
"04-10","1","1",0
"04-11","1","1",0
"04-12","1","1",0
"05-01","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
