"burst_date_mother","position_mother_L","nature_mother_V","8","9","10","11","1","2","3","6"
"1","0","0",0.0756352362874797,0.0392329482118552,0.139503535111085,0.0811606302465312,0.0730017330020984,0.391891285943748,0.198208041656974,0.00136658954022906
"2","0","0",0.0538659071307978,0.0289526333507296,0.109016154615776,0.068165051552514,0.0645960187498647,0.411593049243247,0.261848285306789,0.00196290005028166
"3","0","0",0.0010817392767911,0.000632843248909673,0.00278012964535574,0.00214393635064994,0.00241989610757768,0.0413455924228226,0.855885591090597,0.0937102718572966
"4","0","0",0.0115306813591549,0.00663456111177964,0.0282149665139914,0.0207751779330223,0.0224885367784136,0.274133411393801,0.626715037700393,0.00950762720944465
"5","0","0",0.0181737601881872,0.0103465920349946,0.043125263508506,0.0308756788596912,0.0326159711214762,0.34055790344834,0.518291939163741,0.00601289167506347
"10","0","0",0.0103456167868408,0.00596394545564701,0.0254552578136399,0.0188391829112202,0.0204853617111955,0.257709088814597,0.650603816432582,0.0105977300742774
"12","0","0",0.00535041608952073,0.00310897256474184,0.0134762634092569,0.0101946003978726,0.011305694408357,0.165214963014129,0.770957649657871,0.0203914404582517
"1","1","0",0.102497382263331,0.0508550697515175,0.169209079621368,0.0908543301227376,0.077429412245848,0.357587393117035,0.150587820043236,0.000979512834927587
"2","1","0",0.07361229099151,0.0383106745793481,0.136932304665683,0.0801772336229254,0.0724420109609662,0.394229708093114,0.20288861642945,0.00140716065700364
"3","1","0",0.00150915205324738,0.000882291286104135,0.00387074884779192,0.00297918173817245,0.0033566001137922,0.0563760304675567,0.86205195516724,0.0689740403260948
"4","1","0",0.0160204283288714,0.00915209899173285,0.03839429500207,0.0277365326771523,0.0295276015543052,0.323006812937748,0.549331798868722,0.00683043163939856
"5","1","0",0.0251842464876689,0.0141777576057261,0.0578778843912148,0.0402717443513505,0.0415270591226659,0.379716035842402,0.43692980198292,0.00431547021605094
"10","1","0",0.0143806435949607,0.00823686039933465,0.0347264984785395,0.0252608060702069,0.0270539611609101,0.307305584988665,0.57541970611898,0.00761593918840342
"12","1","0",0.00745187036878557,0.00431562055894501,0.018584927660055,0.0139291940117417,0.0153181114145078,0.209406405052615,0.716298865377433,0.0146950055559169
"1","0","1",0.767312351800563,0.0721765456219329,0.0927089374423253,0.0209652189970815,0.0121588291362966,0.0285293533511648,0.00611480900668759,3.39546439482863e-05
"2","0","1",0.696459566968924,0.0879799746419424,0.120920153798543,0.0286766588741986,0.0168683530252487,0.0402819357701774,0.00876455777363294,4.87991473325788e-05
"3","0","1",0.0418175820038224,0.0229198255131726,0.0892104104965792,0.0582372037517896,0.057038528719271,0.412220979606458,0.315996358256839,0.00255911165206801
"4","0","1",0.319783981499635,0.107355525761166,0.235032672106436,0.0815016815443582,0.0550586136502521,0.159675887820174,0.0413535156250592,0.000238121992918838
"5","0","1",0.427256343458727,0.114689608550244,0.21475925146434,0.0648416079064895,0.0414139239698126,0.110418583741055,0.0264706021013444,0.000150078807987564
"10","0","1",0.29641850703962,0.104130473702519,0.236676616172722,0.0849953922948342,0.0583067453718247,0.173283454591894,0.0459231017030597,0.000265709123526858
"12","0","1",0.178164246820601,0.0776952268214628,0.218891836222489,0.0975096879421887,0.0743832798925828,0.267341695128975,0.0854977855666308,0.000516241605070578
"1","1","1",0.821508702918436,0.0580052903438637,0.0709549992452434,0.0155216803623575,0.00891645700616706,0.0206797138912977,0.00438882819395037,2.43280386846845e-05
"2","1","1",0.762040757825382,0.0734611696991196,0.0948206212498027,0.0215151206062915,0.0124900209228702,0.0293419023949365,0.00629544323180753,3.49640697899778e-05
"3","1","1",0.0574152665081732,0.0306827561138016,0.114431101012425,0.0706804675731317,0.0663718965913883,0.409519624973698,0.249064005010336,0.00183488221704664
"4","1","1",0.396191600810269,0.113775622301954,0.222346823837998,0.0696408681123248,0.0451142755991376,0.122775663849932,0.0299845244557893,0.00017062103259613
"5","1","1",0.510086541951293,0.112745153131935,0.18993758171108,0.0525589429953115,0.0325168942289297,0.0829366655588132,0.0191106874658733,0.000107532956764245
"10","1","1",0.370282364507138,0.112281585546157,0.22771687018161,0.0736819903814085,0.0483558691648878,0.134148863101125,0.0333420676492737,0.000190389468399998
"12","1","1",0.232289372961179,0.0919852879249881,0.233546742844831,0.0934171115812442,0.0674017373111307,0.218192009350373,0.0627978073821536,0.000369930644100069
"04-07","0","0",0,0,0,0,0,0,0,0
"04-08","0","0",0,0,0,0,0,0,0,0
"04-09","0","0",0,0,0,0,0,0,0,0
"04-10","0","0",0,0,0,0,0,0,0,0
"04-11","0","0",0,0,0,0,0,0,0,0
"04-12","0","0",0,0,0,0,0,0,0,0
"05-01","0","0",0,0,0,0,0,0,0,0
"05-02","0","0",0,0,0,0,0,0,0,0
"05-03","0","0",0,0,0,0,0,0,0,0
"05-04","0","0",0,0,0,0,0,0,0,0
"05-05","0","0",0,0,0,0,0,0,0,0
"05-06","0","0",0,0,0,0,0,0,0,0
"05-07","0","0",0,0,0,0,0,0,0,0
"04-07","1","0",0,0,0,0,0,0,0,0
"04-08","1","0",0,0,0,0,0,0,0,0
"04-09","1","0",0,0,0,0,0,0,0,0
"04-10","1","0",0,0,0,0,0,0,0,0
"04-11","1","0",0,0,0,0,0,0,0,0
"04-12","1","0",0,0,0,0,0,0,0,0
"05-01","1","0",0,0,0,0,0,0,0,0
"05-02","1","0",0,0,0,0,0,0,0,0
"05-03","1","0",0,0,0,0,0,0,0,0
"05-04","1","0",0,0,0,0,0,0,0,0
"05-05","1","0",0,0,0,0,0,0,0,0
"05-06","1","0",0,0,0,0,0,0,0,0
"05-07","1","0",0,0,0,0,0,0,0,0
"04-07","0","1",0,0,0,0,0,0,0,0
"04-08","0","1",0,0,0,0,0,0,0,0
"04-09","0","1",0,0,0,0,0,0,0,0
"04-10","0","1",0,0,0,0,0,0,0,0
"04-11","0","1",0,0,0,0,0,0,0,0
"04-12","0","1",0,0,0,0,0,0,0,0
"05-01","0","1",0,0,0,0,0,0,0,0
"05-02","0","1",0,0,0,0,0,0,0,0
"05-03","0","1",0,0,0,0,0,0,0,0
"05-04","0","1",0,0,0,0,0,0,0,0
"05-05","0","1",0,0,0,0,0,0,0,0
"05-06","0","1",0,0,0,0,0,0,0,0
"05-07","0","1",0,0,0,0,0,0,0,0
"04-07","1","1",0,0,0,0,0,0,0,0
"04-08","1","1",0,0,0,0,0,0,0,0
"04-09","1","1",0,0,0,0,0,0,0,0
"04-10","1","1",0,0,0,0,0,0,0,0
"04-11","1","1",0,0,0,0,0,0,0,0
"04-12","1","1",0,0,0,0,0,0,0,0
"05-01","1","1",0,0,0,0,0,0,0,0
"05-02","1","1",0,0,0,0,0,0,0,0
"05-03","1","1",0,0,0,0,0,0,0,0
"05-04","1","1",0,0,0,0,0,0,0,0
"05-05","1","1",0,0,0,0,0,0,0,0
"05-06","1","1",0,0,0,0,0,0,0,0
"05-07","1","1",0,0,0,0,0,0,0,0
