"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.999999999775252
"3","0","0",0.999214881585673
"4","0","0",0.999555603750971
"12","0","0",0.999999999990161
"1","1","0",0.999999994805976
"3","1","0",0.98216516547156
"4","1","0",0.989829736377182
"12","1","0",0.999999999772608
"1","0","1",0.999999961046195
"3","0","1",0.880138054215675
"4","0","1",0.928455114352782
"12","0","1",0.999999998294623
"1","1","1",0.999999099761059
"3","1","1",0.241120446712538
"4","1","1",0.359603007522634
"12","1","1",0.999999960587987
"04-07","0","0",0
"04-08","0","0",0
"04-09","0","0",0
"04-10","0","0",0
"04-11","0","0",0
"04-12","0","0",0
"05-01","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-07","1","0",0
"04-08","1","0",0
"04-09","1","0",0
"04-10","1","0",0
"04-11","1","0",0
"04-12","1","0",0
"05-01","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-07","0","1",0
"04-08","0","1",0
"04-09","0","1",0
"04-10","0","1",0
"04-11","0","1",0
"04-12","0","1",0
"05-01","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-07","1","1",0
"04-08","1","1",0
"04-09","1","1",0
"04-10","1","1",0
"04-11","1","1",0
"04-12","1","1",0
"05-01","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
