"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"03-09","0","0","0",1.5988911264531
"03-10","0","0","0",0.884646132967674
"03-11","0","0","0",1.37434402559786
"03-12","0","0","0",1.42247204477035
"04-01","0","0","0",1.29830345585247
"04-02","0","0","0",0.564896446925454
"03-09","1","0","0",1.0788760686826
"03-10","1","0","0",0.596928412648505
"03-11","1","0","0",0.927359502359418
"03-12","1","0","0",0.959834614178626
"04-01","1","0","0",0.876049973155087
"04-02","1","0","0",0.381172456203246
"03-09","0","1","0",1.23152343101734
"03-10","0","1","0",0.681386257565506
"03-11","0","1","0",1.05856918072783
"03-12","0","1","0",1.09563911145593
"04-01","0","1","0",1
"04-02","0","1","0",0.435103553317235
"03-09","1","1","0",0.830989137261607
"03-10","1","1","0",0.45977572497222
"03-11","1","1","0",0.7142856303579
"03-12","1","1","0",0.739299129068712
"04-01","1","1","0",0.674765186217481
"04-02","1","1","0",0.293592730177991
"03-09","0","0","1",3.22961781592247
"03-10","0","0","1",1.78690647821487
"03-11","0","0","1",2.77605265101685
"03-12","0","0","1",2.87326696760972
"04-01","0","0","1",2.62245746575405
"04-02","0","0","1",1.1410405617729
"03-09","1","0","1",2.17923366697221
"03-10","1","0","1",1.20574228252588
"03-11","1","0","1",1.87318368401291
"03-12","1","0","1",1.9387805204517
"04-01","1","0","1",1.76954300022695
"04-02","1","0","1",0.769934447146385
"03-09","0","1","1",2.48756775726358
"03-10","0","1","1",1.37633961471788
"03-11","0","1","1",2.13821556008575
"03-12","0","1","1",2.21309352190173
"04-01","0","1","1",2.01991102614153
"04-02","0","1","1",0.878870464858841
"03-09","1","1","1",1.67852412095855
"03-10","1","1","1",0.928706056423601
"03-11","1","1","1",1.44279342057437
"03-12","1","1","1",1.49331846242272
"04-01","1","1","1",1.36296563969713
"04-02","1","1","1",0.593031192881518
"03-05","0","0","0",0
"03-06","0","0","0",0
"03-07","0","0","0",0
"03-08","0","0","0",0
"04-03","0","0","0",0
"04-04","0","0","0",0
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"03-05","1","0","0",0
"03-06","1","0","0",0
"03-07","1","0","0",0
"03-08","1","0","0",0
"04-03","1","0","0",0
"04-04","1","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"03-05","0","1","0",0
"03-06","0","1","0",0
"03-07","0","1","0",0
"03-08","0","1","0",0
"04-03","0","1","0",0
"04-04","0","1","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"03-05","1","1","0",0
"03-06","1","1","0",0
"03-07","1","1","0",0
"03-08","1","1","0",0
"04-03","1","1","0",0
"04-04","1","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"03-05","0","0","1",0
"03-06","0","0","1",0
"03-07","0","0","1",0
"03-08","0","0","1",0
"04-03","0","0","1",0
"04-04","0","0","1",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"03-05","1","0","1",0
"03-06","1","0","1",0
"03-07","1","0","1",0
"03-08","1","0","1",0
"04-03","1","0","1",0
"04-04","1","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"03-05","0","1","1",0
"03-06","0","1","1",0
"03-07","0","1","1",0
"03-08","0","1","1",0
"04-03","0","1","1",0
"04-04","0","1","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"03-05","1","1","1",0
"03-06","1","1","1",0
"03-07","1","1","1",0
"03-08","1","1","1",0
"04-03","1","1","1",0
"04-04","1","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
