"burst_date_mother","position_mother_L","nature_mother_V","8","9","10","12","1"
"1","0","0",0.0120605991449218,0.036518442359005,0.00474236061457906,0.180166217472843,0.766512380408651
"3","0","0",0.0256342624567693,0.0734943992284934,0.00911566171731766,0.2880567964347,0.60369888016272
"4","0","0",0.0155987494122252,0.0465576293004492,0.00597288909177614,0.215224294927841,0.716646437267709
"12","0","0",1.86504734838508e-08,5.9355432754808e-08,8.04397151319458e-09,3.79317327121334e-07,0.999999534632795
"1","1","0",0.00891235790615185,0.0273355979802155,0.00358898454839509,0.143424027384511,0.816739032180726
"3","1","0",0.0190109991019109,0.0559664681591895,0.00709710517007144,0.243869376018637,0.674056051550191
"4","1","0",0.01153771242315,0.0350097832173111,0.00455469018139752,0.174454356175533,0.774443458002609
"12","1","0",1.37382635935898e-08,4.37222464275114e-08,5.92532974111992e-09,2.79411788733347e-07,0.999999657202371
"1","0","1",0.0384643193066537,0.104867590457613,0.0124774685894857,0.343729387151259,0.500461234494988
"3","0","1",0.0793669100695916,0.1856474452516,0.0195515900617569,0.398083758811305,0.317350295805746
"4","0","1",0.049361364344203,0.129063924219101,0.0148432323612308,0.37111940253599,0.435612076539475
"12","0","1",6.11144507507002e-08,1.94497690943825e-07,2.63587269544219e-08,1.24295729046262e-06,0.999998475071841
"1","1","1",0.0286234669072563,0.0810994787411762,0.00996046058353267,0.304033961422744,0.576282632345291
"3","1","1",0.059711243563127,0.150151392143821,0.0167371868667878,0.386482913999195,0.38691726342707
"4","1","1",0.0368393865571515,0.101072851336801,0.0120882808385447,0.338327370277632,0.511672110989871
"12","1","1",4.50179693243697e-08,1.43270397860024e-07,1.94163000043438e-08,9.15584419315663e-07,0.999998876710913
"04-07","0","0",0,0,0,0,0
"04-08","0","0",0,0,0,0,0
"04-09","0","0",0,0,0,0,0
"04-10","0","0",0,0,0,0,0
"04-11","0","0",0,0,0,0,0
"04-12","0","0",0,0,0,0,0
"05-01","0","0",0,0,0,0,0
"05-02","0","0",0,0,0,0,0
"05-03","0","0",0,0,0,0,0
"05-04","0","0",0,0,0,0,0
"05-05","0","0",0,0,0,0,0
"05-06","0","0",0,0,0,0,0
"05-07","0","0",0,0,0,0,0
"04-07","1","0",0,0,0,0,0
"04-08","1","0",0,0,0,0,0
"04-09","1","0",0,0,0,0,0
"04-10","1","0",0,0,0,0,0
"04-11","1","0",0,0,0,0,0
"04-12","1","0",0,0,0,0,0
"05-01","1","0",0,0,0,0,0
"05-02","1","0",0,0,0,0,0
"05-03","1","0",0,0,0,0,0
"05-04","1","0",0,0,0,0,0
"05-05","1","0",0,0,0,0,0
"05-06","1","0",0,0,0,0,0
"05-07","1","0",0,0,0,0,0
"04-07","0","1",0,0,0,0,0
"04-08","0","1",0,0,0,0,0
"04-09","0","1",0,0,0,0,0
"04-10","0","1",0,0,0,0,0
"04-11","0","1",0,0,0,0,0
"04-12","0","1",0,0,0,0,0
"05-01","0","1",0,0,0,0,0
"05-02","0","1",0,0,0,0,0
"05-03","0","1",0,0,0,0,0
"05-04","0","1",0,0,0,0,0
"05-05","0","1",0,0,0,0,0
"05-06","0","1",0,0,0,0,0
"05-07","0","1",0,0,0,0,0
"04-07","1","1",0,0,0,0,0
"04-08","1","1",0,0,0,0,0
"04-09","1","1",0,0,0,0,0
"04-10","1","1",0,0,0,0,0
"04-11","1","1",0,0,0,0,0
"04-12","1","1",0,0,0,0,0
"05-01","1","1",0,0,0,0,0
"05-02","1","1",0,0,0,0,0
"05-03","1","1",0,0,0,0,0
"05-04","1","1",0,0,0,0,0
"05-05","1","1",0,0,0,0,0
"05-06","1","1",0,0,0,0,0
"05-07","1","1",0,0,0,0,0
