"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","03-10","03-11","03-12","04-01","04-02","04-03","04-04"
"03-09","0","0","0",0.0239797390277824,0.0234910284905362,0.944376480141566,0.00788635801859583,3.73206698126571e-05,0.000213475336781954,1.5598314924703e-05
"03-10","0","0","0",0.00448574109618728,0.00457153473080085,0.948046658739554,0.0414452604512521,0.00020304428387885,0.00116271616095009,8.50445373771214e-05
"03-11","0","0","0",0.00223425563622655,0.00228740960965548,0.912752708357404,0.0798105217085819,0.000407462547677984,0.00233652579990318,0.00017111634055067
"03-12","0","0","0",1.00407575490248e-06,1.03263029568349e-06,0.00494525962288115,0.128028300025847,0.0183900352759596,0.572389224593449,0.276245143775812
"04-01","0","0","0",1.1619206286467e-06,1.1949636790852e-06,0.00571822674723989,0.145008461217027,0.0203607802798243,0.580884721753275,0.248025453118326
"04-02","0","0","0",1.6761396140171e-13,1.72381024238665e-13,8.2963520098985e-10,2.47726140048216e-08,4.17228411687899e-09,4.07585994426984e-07,0.999999562639132
"04-03","0","0","0",1.87418300951199e-13,1.92748613593159e-13,9.27660312203484e-10,2.76996091111781e-08,4.66525812417625e-09,4.55744078309222e-07,0.999999510963014
"03-09","1","0","0",0.0232984042639725,0.02285514141649,0.945451477234942,0.00812060315931429,3.84383132919774e-05,0.000219869942760909,1.60656692286265e-05
"03-10","1","0","0",0.00435581614455445,0.00444029479337716,0.947079269561819,0.0426304099773627,0.000209111055018196,0.00119750602145463,8.75924464142086e-05
"03-11","1","0","0",0.00216940057420727,0.00222130380254122,0.910615686563201,0.0819914232730429,0.000419602894710325,0.00240634041160726,0.000176242480690147
"03-12","1","0","0",9.74866514979935e-07,1.00259044434177e-06,0.00480208995254739,0.124804547450488,0.0180036702802614,0.570201266137904,0.282186448721841
"04-01","1","0","0",1.12811958022366e-06,1.16020146576617e-06,0.00555280397288697,0.141433657136573,0.0199548514598958,0.579483929722706,0.253572469386892
"04-02","1","0","0",1.62737953628517e-13,1.67366339261893e-13,8.05500530752053e-10,2.40519612958243e-08,4.05090945022286e-09,3.95729037171893e-07,0.999999575362261
"04-03","1","0","0",1.81966171041289e-13,1.87141421147538e-13,9.00674022688673e-10,2.68938080649211e-08,4.5295424992986e-09,4.42486169941218e-07,0.999999525189436
"03-09","0","1","0",0.0305567307834881,0.0295372847117272,0.933539687407379,0.00615863769092018,2.90936369208294e-05,0.000166407260882573,1.21585086823028e-05
"03-10","0","1","0",0.0057475434170687,0.00584249889786418,0.954654309129975,0.0326244231749812,0.000158361785154271,0.00090657242266956,6.62911722867365e-05
"03-11","0","1","0",0.00286455586032269,0.00292895806800128,0.928525859251223,0.0634069194648299,0.000317986248860924,0.00182233548926025,0.00013338561750198
"03-12","0","1","0",1.28814640581798e-06,1.32477876390563e-06,0.00633549084582954,0.158073319312857,0.0218037686964916,0.58449066914679,0.229294139072862
"04-01","0","1","0",1.49064829769044e-06,1.53303878281768e-06,0.00732415680916796,0.1781368911185,0.0238961774725879,0.586124349964639,0.204515400948025
"04-02","0","1","0",2.1503495351268e-13,2.21150703817492e-13,1.06435386016487e-09,3.17812300152691e-08,5.35269794685016e-09,5.22899304137858e-07,0.999999438901978
"04-03","0","1","0",2.40442295471308e-13,2.4728064904032e-13,1.1901120311796e-09,3.55363244083247e-08,5.98514311035395e-09,5.84682155299747e-07,0.999999372605777
"03-09","1","1","0",0.0296942097196756,0.0287538061712998,0.934996188448507,0.00634191562575359,2.99650032202781e-05,0.000171392230211564,1.25228013320156e-05
"03-10","1","1","0",0.00558127653512182,0.0056753986430164,0.954011406273732,0.0335668385127215,0.000163096390424333,0.000933706370534138,6.82772744495797e-05
"03-11","1","1","0",0.00278145570402395,0.00284446901672755,0.926858371196723,0.0651740306915511,0.000327472357057434,0.00187681942198459,0.000137381611931997
"03-12","1","1","0",1.25067336968327e-06,1.28624016586683e-06,0.0061523218026667,0.154240868372304,0.0213870752568146,0.58366429468134,0.234552902973339
"04-01","1","1","0",1.44728435529331e-06,1.48844180416725e-06,0.0071126086454097,0.173930038851714,0.0234698173604288,0.58612434995828,0.209360249458008
"04-02","1","1","0",2.08779435797642e-13,2.14717274633891e-13,1.03339105941233e-09,3.08566917596365e-08,5.19698421764862e-09,5.076878052466e-07,0.999999455224704
"04-03","1","1","0",2.33447660347133e-13,2.40087081411484e-13,1.15549083697976e-09,3.45025478289893e-08,5.81103111016707e-09,5.67673352122447e-07,0.999999390857105
"03-09","0","0","1",0.0216112621892219,0.021272765971597,0.948056063815031,0.00876360989845437,4.15089932260804e-05,0.000237439357129277,1.73497753407359e-05
"03-10","0","0","1",0.00403472541168773,0.00411565612167814,0.944365590080585,0.0458705794448518,0.000225775135761941,0.00129308076005297,9.45930453822852e-05
"03-11","0","0","1",0.00200915710385545,0.00205789524541218,0.904765154044173,0.0879264210272314,0.000452939529417384,0.00259810619492706,0.000190326854983436
"03-12","0","0","1",9.02712783488051e-07,9.28384890922033e-07,0.00444825024474812,0.116728122996666,0.0170185531781606,0.563783521054837,0.298019721427914
"04-01","0","0","1",1.04462299430118e-06,1.07433055473633e-06,0.00514393441327608,0.132460520249494,0.0189148642920898,0.575078006785534,0.268400555306057
"04-02","0","0","1",1.50693062323896e-13,1.54978882497732e-13,7.4588219271132e-10,2.2271778823775e-08,3.75108534345718e-09,3.66439549804552e-07,0.999999606791398
"04-03","0","0","1",1.68498121932637e-13,1.73290330937451e-13,8.34011511250857e-10,2.49032890797723e-08,4.1942928368194e-09,4.09736001962078e-07,0.999999560332063
"03-09","1","0","1",0.0209957751711476,0.0206927340322921,0.948982659212705,0.00902365838610386,4.27519933341447e-05,0.000244551598725717,1.78696056912786e-05
"03-10","1","0","1",0.00391781226313702,0.00399734563772762,0.943247564087256,0.0471755667175795,0.000232518975477936,0.00133176532181756,9.7426997004102e-05
"03-11","1","0","1",0.00195082333493647,0.00199838285116309,0.902407197744089,0.090305428625208,0.000466426380041463,0.00267571269200051,0.000196028372561496
"03-12","1","0","1",8.76452258084214e-07,9.01377594564618e-07,0.00431940692637933,0.113748073482012,0.0166488578614453,0.561049400824883,0.304232483075428
"04-01","1","0","1",1.01423420907362e-06,1.04307762089988e-06,0.00499504182816951,0.129143376629931,0.0185227680278995,0.573099684237956,0.274237071964215
"04-02","1","0","1",1.46309295380421e-13,1.50470438037496e-13,7.24183956260746e-10,2.16238771618026e-08,3.64196364347749e-09,3.55779570470251e-07,0.999999618230108
"04-03","1","0","1",1.63596393309071e-13,1.68249193590635e-13,8.0974953107636e-10,2.4178834941329e-08,4.07227792112298e-09,3.97816499535742e-07,0.999999573122306
"03-09","0","1","1",0.0275569860922672,0.0268002045091008,0.938566717120108,0.00684512076847166,3.23590760110681e-05,0.000185088699164448,1.35237348771744e-05
"03-10","0","1","1",0.00517031960414194,0.00526189533197337,0.952163584047207,0.0361461133331605,0.000176102174761161,0.0010082512364985,7.37342722570977e-05
"03-11","0","1","1",0.0025761193035389,0.00263557820966142,0.922267431396985,0.0699925010596906,0.000353524115989545,0.0020264850238092,0.000148360890325772
"03-12","0","1","1",1.15810610425091e-06,1.19104068530607e-06,0.00569956117155209,0.144606676536224,0.0203153947165984,0.580736750594257,0.24863926783458
"04-01","0","1","1",1.34016515540519e-06,1.37827667930537e-06,0.00658964770627327,0.163330252635137,0.0223664547259778,0.585337747290098,0.22237317920068
"04-02","0","1","1",1.93326828985571e-13,1.98825184457482e-13,9.56905625643857e-10,2.85728638101814e-08,4.8123345116676e-09,4.70111806533538e-07,0.999999495545697
"04-03","0","1","1",2.16169258895571e-13,2.22317269669566e-13,1.06996830698792e-09,3.1948875407162e-08,5.38093332701174e-09,5.25657586586223e-07,0.999999435942198
"03-09","1","1","1",0.0267767997033979,0.0260826881914749,0.939853948505706,0.00704867329177428,3.33282002487056e-05,0.000190633175597976,1.39289318000779e-05
"03-10","1","1","1",0.00502066652773263,0.00511114276036366,0.951386399988406,0.0371860566484805,0.000181365889180385,0.00103842483098637,7.59433548508381e-05
"03-11","1","1","1",0.00250136564014756,0.00255948722039524,0.92040733173784,0.0719278867848331,0.000364065215526455,0.00208705795268582,0.000152805448571769
"03-12","1","1","1",1.12441602276972e-06,1.15639259385084e-06,0.00553467536597613,0.141039968059626,0.0199098549756825,0.57931784940365,0.254195371386448
"04-01","1","1","1",1.30117886119844e-06,1.33818180138854e-06,0.00639917794798385,0.159397205702119,0.0219464415008304,0.584734463198522,0.227520072289882
"04-02","1","1","1",1.87702815848376e-13,1.93041220300717e-13,9.29068569437468e-10,2.77416591733375e-08,4.67234033197805e-09,4.56435931298442e-07,0.99999951022062
"04-03","1","1","1",2.09880743440859e-13,2.15849904266599e-13,1.03884217803726e-09,3.10194602297432e-08,5.22439821089867e-09,5.10365847416329e-07,0.999999452351026
"03-05","0","0","0",0,0,0,0,0,0,0
"03-06","0","0","0",0,0,0,0,0,0,0
"03-07","0","0","0",0,0,0,0,0,0,0
"03-08","0","0","0",0,0,0,0,0,0,0
"04-04","0","0","0",0,0,0,0,0,0,0
"04-05","0","0","0",0,0,0,0,0,0,0
"04-06","0","0","0",0,0,0,0,0,0,0
"04-07","0","0","0",0,0,0,0,0,0,0
"03-05","1","0","0",0,0,0,0,0,0,0
"03-06","1","0","0",0,0,0,0,0,0,0
"03-07","1","0","0",0,0,0,0,0,0,0
"03-08","1","0","0",0,0,0,0,0,0,0
"04-04","1","0","0",0,0,0,0,0,0,0
"04-05","1","0","0",0,0,0,0,0,0,0
"04-06","1","0","0",0,0,0,0,0,0,0
"04-07","1","0","0",0,0,0,0,0,0,0
"03-05","0","1","0",0,0,0,0,0,0,0
"03-06","0","1","0",0,0,0,0,0,0,0
"03-07","0","1","0",0,0,0,0,0,0,0
"03-08","0","1","0",0,0,0,0,0,0,0
"04-04","0","1","0",0,0,0,0,0,0,0
"04-05","0","1","0",0,0,0,0,0,0,0
"04-06","0","1","0",0,0,0,0,0,0,0
"04-07","0","1","0",0,0,0,0,0,0,0
"03-05","1","1","0",0,0,0,0,0,0,0
"03-06","1","1","0",0,0,0,0,0,0,0
"03-07","1","1","0",0,0,0,0,0,0,0
"03-08","1","1","0",0,0,0,0,0,0,0
"04-04","1","1","0",0,0,0,0,0,0,0
"04-05","1","1","0",0,0,0,0,0,0,0
"04-06","1","1","0",0,0,0,0,0,0,0
"04-07","1","1","0",0,0,0,0,0,0,0
"03-05","0","0","1",0,0,0,0,0,0,0
"03-06","0","0","1",0,0,0,0,0,0,0
"03-07","0","0","1",0,0,0,0,0,0,0
"03-08","0","0","1",0,0,0,0,0,0,0
"04-04","0","0","1",0,0,0,0,0,0,0
"04-05","0","0","1",0,0,0,0,0,0,0
"04-06","0","0","1",0,0,0,0,0,0,0
"04-07","0","0","1",0,0,0,0,0,0,0
"03-05","1","0","1",0,0,0,0,0,0,0
"03-06","1","0","1",0,0,0,0,0,0,0
"03-07","1","0","1",0,0,0,0,0,0,0
"03-08","1","0","1",0,0,0,0,0,0,0
"04-04","1","0","1",0,0,0,0,0,0,0
"04-05","1","0","1",0,0,0,0,0,0,0
"04-06","1","0","1",0,0,0,0,0,0,0
"04-07","1","0","1",0,0,0,0,0,0,0
"03-05","0","1","1",0,0,0,0,0,0,0
"03-06","0","1","1",0,0,0,0,0,0,0
"03-07","0","1","1",0,0,0,0,0,0,0
"03-08","0","1","1",0,0,0,0,0,0,0
"04-04","0","1","1",0,0,0,0,0,0,0
"04-05","0","1","1",0,0,0,0,0,0,0
"04-06","0","1","1",0,0,0,0,0,0,0
"04-07","0","1","1",0,0,0,0,0,0,0
"03-05","1","1","1",0,0,0,0,0,0,0
"03-06","1","1","1",0,0,0,0,0,0,0
"03-07","1","1","1",0,0,0,0,0,0,0
"03-08","1","1","1",0,0,0,0,0,0,0
"04-04","1","1","1",0,0,0,0,0,0,0
"04-05","1","1","1",0,0,0,0,0,0,0
"04-06","1","1","1",0,0,0,0,0,0,0
"04-07","1","1","1",0,0,0,0,0,0,0
