"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.958503283197134
"2","0","0","0",0.432932040676222
"9","0","0","0",0.187598350464236
"10","0","0","0",0.175379423585443
"11","0","0","0",0.62233205336105
"1","1","0","0",0.717422620932215
"2","1","0","0",0.0774188970157385
"9","1","0","0",0.0247531559525603
"10","1","0","0",0.0228426651223854
"11","1","0","0",0.153347004812607
"1","0","1","0",0.93961532117757
"2","0","1","0",0.33963483926046
"9","0","1","0",0.13461971769369
"10","0","1","0",0.125319177730716
"11","0","1","0",0.526085022846128
"1","1","1","0",0.631041893167589
"2","1","1","0",0.0535061476242414
"9","1","1","0",0.0168111122098084
"10","1","1","0",0.0155038570968785
"11","1","1","0",0.108746337080064
"1","0","0","1",0.989218577252787
"2","0","0","1",0.752023522983137
"9","0","0","1",0.478423529337636
"10","0","0","1",0.457939755586915
"11","0","0","1",0.867472143412183
"1","1","0","1",0.909787641117644
"2","1","0","1",0.249999999999999
"9","1","0","1",0.0915873547759822
"10","1","0","1",0.0849679075326562
"11","1","0","1",0.418421791371111
"1","0","1","1",0.984079000996043
"2","0","1","1",0.671374915905916
"9","0","1","1",0.381925592777775
"10","0","1","1",0.362700327557295
"11","0","1","1",0.815140891065184
"1","1","1","1",0.871694093804147
"2","1","1","1",0.183376638099209
"9","1","1","1",0.0636000130777295
"10","1","1","1",0.0588722504085752
"11","1","1","1",0.326451416451859
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"12","0","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"12","1","0","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"12","0","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"12","1","1","0",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"12","0","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"12","1","0","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"12","0","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"12","1","1","1",0
