"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.729010207019177
"2","0","0",0.802981800763378
"3","0","0",0.806671668470159
"4","0","0",0.496194502600687
"9","0","0",4.16846833399196e-08
"10","0","0",0.0694628803543806
"12","0","0",0.198780742433375
"1","1","0",0.713261933653859
"2","1","0",0.790295735284628
"3","1","0",0.794162290088611
"4","1","0",0.476629721742075
"9","1","0",3.85442435333122e-08
"10","1","0",0.0645675817492116
"12","1","0",0.186599467529471
"1","0","1",0.922393424696336
"2","0","1",0.947387230196293
"3","0","1",0.948545893253635
"4","0","1",0.813131977188525
"9","0","1",1.84167693264959e-07
"10","0","1",0.248009554456103
"12","0","1",0.522929128330259
"1","1","1",0.916597693378463
"2","1","1",0.94334340894415
"3","1","1",0.944585917972525
"4","1","1",0.800937461340109
"9","1","1",1.70292873247619e-07
"10","1","1",0.233691431839917
"12","1","1",0.50336342249641
"04-07","0","0",0
"04-08","0","0",0
"04-09","0","0",0
"04-10","0","0",0
"04-11","0","0",0
"04-12","0","0",0
"05-01","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-07","1","0",0
"04-08","1","0",0
"04-09","1","0",0
"04-10","1","0",0
"04-11","1","0",0
"04-12","1","0",0
"05-01","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-07","0","1",0
"04-08","0","1",0
"04-09","0","1",0
"04-10","0","1",0
"04-11","0","1",0
"04-12","0","1",0
"05-01","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-07","1","1",0
"04-08","1","1",0
"04-09","1","1",0
"04-10","1","1",0
"04-11","1","1",0
"04-12","1","1",0
"05-01","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
