"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","03-11","03-12","04-01","04-02","04-03","04-04"
"03-10","0","0","0",0.350364535794657,0.632167550713139,0.017361168242817,0.000100297161761187,3.93800747078288e-06,2.51008015539345e-06
"03-11","0","0","0",0.000182464507722693,0.0184952868871647,0.741494389245139,0.221128421840752,0.0113361496765864,0.00736328784263551
"03-12","0","0","0",1.34341134697478e-06,0.000138745592281035,0.0226605715060842,0.255855096531598,0.219427638404557,0.501916604554133
"04-02","0","0","0",2.83741604672857e-12,2.93085307447236e-10,4.89848679266131e-08,7.66622191565044e-07,1.28005713849937e-06,0.999997904039879
"03-10","1","0","0",0.429766418248965,0.557671122890046,0.0124860695718835,7.17750249347171e-05,2.81804789303841e-06,1.79621627771631e-06
"03-11","1","0","0",0.000254962424232417,0.0256535202327843,0.789907957604738,0.170730686225692,0.00817264252460714,0.00528023098794572
"03-12","1","0","0",1.87731890125229e-06,0.000193876002715217,0.03138038512778,0.319000320357056,0.230444652940156,0.418978888253391
"04-02","1","0","0",3.96508309328981e-12,4.09565456096533e-10,6.84527981154124e-08,1.07129853199447e-06,1.78878492298979e-06,0.999997071050216
"03-10","0","1","0",0.338694765251993,0.642927890342375,0.0182649382776227,0.000105616051422563,4.14686808103415e-06,2.64320850618116e-06
"03-11","0","1","0",0.000173276034444588,0.0175804472187305,0.732870550781737,0.229704024481719,0.0119209092338473,0.00775079224952158
"03-12","0","1","0",1.27574874815255e-06,0.000131758426020695,0.021544134725788,0.246710508031678,0.216780319854568,0.514832003213197
"04-02","0","1","0",2.69450584352032e-12,2.78323679211165e-10,4.65176805333391e-08,7.28010285040679e-07,1.21558554994085e-06,0.999998009605466
"03-10","1","1","0",0.41715019549691,0.569629870818275,0.0131394932147842,7.55814774134889e-05,2.96750946571223e-06,1.89148315132837e-06
"03-11","1","1","0",0.000242124014549131,0.0243935912390887,0.783288389573064,0.177919613764161,0.00859755621140679,0.0055587251977296
"03-12","1","1","0",1.78276542620583e-06,0.000184113014663544,0.0298476333312601,0.30886978288561,0.22948722578368,0.43160946221936
"04-02","1","1","0",3.76537645130743e-12,3.88937151480339e-10,6.50050828406114e-08,1.01734122978572e-06,1.69869075815395e-06,0.999997218570227
"03-10","0","0","1",0.504335298679872,0.486329151310313,0.00927896656502647,5.31656082580767e-05,2.08736022988543e-06,1.33047630113126e-06
"03-11","0","0","1",0.000344182755503447,0.034319334221387,0.822067772793255,0.133269149476586,0.0060830778140224,0.00391648293924585
"03-12","0","0","1",2.53448341818125e-06,0.000261725295979547,0.0418992356388525,0.379399497757517,0.230271429115181,0.348165577709052
"04-02","0","0","1",5.35308303191674e-12,5.52936178533693e-10,9.24150880501833e-08,1.44631207763152e-06,2.41495584183739e-06,0.999996045758703
"03-10","1","0","1",0.587096343277123,0.406205346873571,0.00665781804771803,3.804599316104e-05,1.49371835855838e-06,9.52090068784273e-07
"03-11","1","0","1",0.000480904651259119,0.0473005966452193,0.845340516459606,0.0997018821639407,0.00437033714961321,0.00280576293036161
"03-12","1","0","1",3.54175315274332e-06,0.000365703338975796,0.0575801275014423,0.4466186458963,0.218903114216878,0.276528867293251
"04-02","1","0","1",7.48054521341006e-12,7.72688198197566e-10,1.29143376768621e-07,2.02111489892427e-06,3.37471823514036e-06,0.99999447424332
"03-10","0","1","1",0.491416508615438,0.498757671042012,0.00976623602478377,5.59852079387024e-05,2.19806831469604e-06,1.40104151302722e-06
