"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.991737329318921
"3","0","0","0",1.00006416219107
"4","0","0","0",1.01306389032044
"12","0","0","0",0.976700758674656
"1","1","0","0",0.966159578851853
"3","1","0","0",0.974271655611584
"4","1","0","0",0.986936109679563
"12","1","0","0",0.951510814172383
"1","0","1","0",1.03612777169815
"3","0","1","0",1.04482731595656
"4","0","1","0",1.05840891558094
"12","0","1","0",1.02041815991383
"1","1","1","0",1.00940515391115
"3","1","1","0",1.01788032951302
"4","1","1","0",1.03111164811453
"12","1","1","0",0.994100706395906
"1","0","0","1",1.04305395411779
"3","0","0","1",1.05181165204425
"4","0","0","1",1.06548404031374
"12","0","0","1",1.02723932860839
"1","1","0","1",1.01615270418658
"3","1","0","1",1.02468453362388
"4","1","0","1",1.038004299354
"12","1","0","1",1.00074595133968
"1","0","1","1",1.08974134308649
"3","0","1","1",1.09889103804048
"4","0","1","1",1.11317540626245
"12","0","1","1",1.07321885048198
"1","1","1","1",1.06163598562631
"3","1","1","1",1.07054970215389
"4","1","1","1",1.08446566435225
"12","1","1","1",1.04553962217963
"2","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"9","0","0","0",0
"10","0","0","0",0
"11","0","0","0",0
"2","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"9","1","0","0",0
"10","1","0","0",0
"11","1","0","0",0
"2","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"9","0","1","0",0
"10","0","1","0",0
"11","0","1","0",0
"2","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"9","1","1","0",0
"10","1","1","0",0
"11","1","1","0",0
"2","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"9","0","0","1",0
"10","0","0","1",0
"11","0","0","1",0
"2","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"9","1","0","1",0
"10","1","0","1",0
"11","1","0","1",0
"2","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"9","0","1","1",0
"10","0","1","1",0
"11","0","1","1",0
"2","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"9","1","1","1",0
"10","1","1","1",0
"11","1","1","1",0
