"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"04-08","0","0","0",0.482197552865849
"04-09","0","0","0",0.865309587073952
"04-10","0","0","0",0.589701158024583
"04-11","0","0","0",1.98747867202047e-10
"04-12","0","0","0",0.0316572456179871
"05-01","0","0","0",1.42630801026495e-10
"05-02","0","0","0",1.84355136618672e-10
"04-08","1","0","0",0.594382762000051
"04-09","1","0","0",0.909985826523738
"04-10","1","0","0",0.693404357433917
"04-11","1","0","0",3.12745720490698e-10
"04-12","1","0","0",0.0489268052678095
"05-01","1","0","0",2.24441012930643e-10
"05-02","1","0","0",2.90097603763618e-10
"04-08","0","1","0",0.612370279407329
"04-09","0","1","0",0.915956543521349
"04-10","0","1","0",0.709149422176159
"04-11","0","1","0",3.37161991054844e-10
"04-12","0","1","0",0.0525458422260957
"05-01","0","1","0",2.41963275071685e-10
"05-02","0","1","0",3.12745720491042e-10
"04-08","1","1","0",0.713131112608354
"04-09","1","1","0",0.944903070430406
"04-10","1","1","0",0.793247038852639
"04-11","1","1","0",5.30551453409849e-10
"04-12","1","1","0",0.080265944082276
"05-01","1","1","0",3.80748633220693e-10
"05-02","1","1","0",4.92130492044598e-10
"04-08","0","0","1",0.320455831791981
"04-09","0","0","1",0.764888565524498
"04-10","0","0","1",0.421234487179074
"04-11","0","0","1",1.00644967322083e-10
"04-12","0","0","1",0.0162855583144102
"05-01","0","0","1",7.22275539864942e-11
"05-02","0","0","1",9.33565575405653e-11
"04-08","1","0","1",0.425967165041715
"04-09","1","0","1",0.836583476770747
"04-10","1","0","1",0.533859521107238
"04-11","1","0","1",1.58372933827158e-10
"04-12","1","0","1",0.0253894681644945
"05-01","1","0","1",1.13655853169294e-10
"05-02","1","0","1",1.46904036070177e-10
"04-08","0","1","1",0.444442531738908
"04-09","0","1","1",0.846602286355679
"04-10","0","1","1",0.552510341880606
"04-11","0","1","1",1.70737216212663e-10
"04-12","0","1","1",0.0273174931713661
"05-01","0","1","1",1.22529042731798e-10
"05-02","0","1","1",1.58372933827333e-10
"04-08","1","1","1",0.557297727948617
"04-09","1","1","1",0.896743204045167
"04-10","1","1","1",0.660196984410687
"04-11","1","1","1",2.68668713036198e-10
"04-12","1","1","1",0.0423231166198629
"05-01","1","1","1",1.92809282893639e-10
"05-02","1","1","1",2.49212522350487e-10
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"05-03","0","0","0",0
"05-04","0","0","0",0
"05-05","0","0","0",0
"05-06","0","0","0",0
"05-07","0","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"05-03","1","0","0",0
"05-04","1","0","0",0
"05-05","1","0","0",0
"05-06","1","0","0",0
"05-07","1","0","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"05-03","0","1","0",0
"05-04","0","1","0",0
"05-05","0","1","0",0
"05-06","0","1","0",0
"05-07","0","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"05-03","1","1","0",0
"05-04","1","1","0",0
"05-05","1","1","0",0
"05-06","1","1","0",0
"05-07","1","1","0",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"05-03","0","0","1",0
"05-04","0","0","1",0
"05-05","0","0","1",0
"05-06","0","0","1",0
"05-07","0","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"05-03","1","0","1",0
"05-04","1","0","1",0
"05-05","1","0","1",0
"05-06","1","0","1",0
"05-07","1","0","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"05-03","0","1","1",0
"05-04","0","1","1",0
"05-05","0","1","1",0
"05-06","0","1","1",0
"05-07","0","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
"05-03","1","1","1",0
"05-04","1","1","1",0
"05-05","1","1","1",0
"05-06","1","1","1",0
"05-07","1","1","1",0
