"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",4.76956525527803
"3","0","0",3.70358133059096
"4","0","0",2.99999999999999
"10","0","0",1.19989284115438e-06
"12","0","0",1.10907000192967
"1","1","0",2.63908320755134
"3","1","0",2.04925580723468
"4","1","0",1.65995204990491
"10","1","0",6.63921527113482e-07
"12","1","0",0.613667674397068
"1","0","1",1.62380464629341
"3","0","1",1.26088904347919
"4","0","1",1.02135387150631
"10","0","1",4.08505066235246e-07
"12","0","1",0.377584313414128
"1","1","1",0.898479283753287
"3","1","1",0.697671784141978
"4","1","1",0.56513281756174
"10","1","1",2.26032940697913e-07
"12","1","1",0.208923951687907
"2","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"2","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"2","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"2","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
