"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"04-08","0","0","0",5.07192067232927
"04-09","0","0","0",4.83921189915061
"04-10","0","0","0",4.8
"04-08","1","0","0",1.5947459943374
"04-09","1","0","0",1.52157620169878
"04-10","1","0","0",1.50924694358519
"04-08","0","1","0",3.80394050424695
"04-09","0","1","0",3.62940892436296
"04-10","0","1","0",3.6
"04-08","1","1","0",1.19605949575305
"04-09","1","1","0",1.14118215127409
"04-10","1","1","0",1.13193520768889
"04-08","0","0","1",5.07192067232927
"04-09","0","0","1",4.83921189915061
"04-10","0","0","1",4.8
"04-08","1","0","1",1.5947459943374
"04-09","1","0","1",1.52157620169878
"04-10","1","0","1",1.50924694358519
"04-08","0","1","1",3.80394050424695
"04-09","0","1","1",3.62940892436296
"04-10","0","1","1",3.6
"04-08","1","1","1",1.19605949575305
"04-09","1","1","1",1.14118215127409
"04-10","1","1","1",1.13193520768889
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"04-11","0","0","0",0
"04-12","0","0","0",0
"05-01","0","0","0",0
"05-02","0","0","0",0
"05-03","0","0","0",0
"05-04","0","0","0",0
"05-05","0","0","0",0
"05-06","0","0","0",0
"05-07","0","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"04-11","1","0","0",0
"04-12","1","0","0",0
"05-01","1","0","0",0
"05-02","1","0","0",0
"05-03","1","0","0",0
"05-04","1","0","0",0
"05-05","1","0","0",0
"05-06","1","0","0",0
"05-07","1","0","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"04-11","0","1","0",0
"04-12","0","1","0",0
"05-01","0","1","0",0
"05-02","0","1","0",0
"05-03","0","1","0",0
"05-04","0","1","0",0
"05-05","0","1","0",0
"05-06","0","1","0",0
"05-07","0","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"04-11","1","1","0",0
"04-12","1","1","0",0
"05-01","1","1","0",0
"05-02","1","1","0",0
"05-03","1","1","0",0
"05-04","1","1","0",0
"05-05","1","1","0",0
"05-06","1","1","0",0
"05-07","1","1","0",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"04-11","0","0","1",0
"04-12","0","0","1",0
"05-01","0","0","1",0
"05-02","0","0","1",0
"05-03","0","0","1",0
"05-04","0","0","1",0
"05-05","0","0","1",0
"05-06","0","0","1",0
"05-07","0","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"04-11","1","0","1",0
"04-12","1","0","1",0
"05-01","1","0","1",0
"05-02","1","0","1",0
"05-03","1","0","1",0
"05-04","1","0","1",0
"05-05","1","0","1",0
"05-06","1","0","1",0
"05-07","1","0","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"04-11","0","1","1",0
"04-12","0","1","1",0
"05-01","0","1","1",0
"05-02","0","1","1",0
"05-03","0","1","1",0
"05-04","0","1","1",0
"05-05","0","1","1",0
"05-06","0","1","1",0
"05-07","0","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
"04-11","1","1","1",0
"04-12","1","1","1",0
"05-01","1","1","1",0
"05-02","1","1","1",0
"05-03","1","1","1",0
"05-04","1","1","1",0
"05-05","1","1","1",0
"05-06","1","1","1",0
"05-07","1","1","1",0
