"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","11","12"
"1","0","0","0",0.00846442429809178,0.00318859463538708,0.957854244876577,0.00482337071310301,0.015998041042891,0.0096713244339498
"2","0","0","0",0.0122512735515862,0.00459089043276546,0.961969405492396,0.00337864279451883,0.0111332446636524,0.00667654306508103
"3","0","0","0",0.000244587680588609,9.31923586670562e-05,0.476426520682981,0.0442590895408194,0.2248195006978,0.254157109039144
"9","0","0","0",1.68318888863235e-14,6.41542306758767e-15,6.26667717905212e-11,1.21501836821449e-11,1.27060175856587e-10,0.9999999997981
"10","0","0","0",2.69511658590272e-05,1.02719722261088e-05,0.0911872628951501,0.0157885049444866,0.137295296323268,0.75569171269901
"11","0","0","0",0.746887382034673,0.0560878098295159,0.196933826527018,1.47695886627552e-05,4.79604801723044e-05,2.8251539958335e-05
"12","0","0","0",0.00947674582642985,0.00356492579787064,0.959661008498996,0.00432989075165791,0.0143290301566026,0.00863839896844265
"1","1","0","0",0.0281546385983394,0.0103182004217636,0.952344359429288,0.00147932827456998,0.00483404770538431,0.00286942557065462
"2","1","0","0",0.0403917257902042,0.0145493549921768,0.938720593295687,0.00102354778025116,0.00333809079295133,0.00197668734872924
"3","1","0","0",0.000829552853755878,0.000315819392337559,0.754488337419622,0.031216278488134,0.121899478868878,0.091250532977273
"9","1","0","0",5.71210947414591e-14,2.17715308914591e-14,2.12667433359729e-10,4.12331496300106e-11,4.31194406473325e-10,0.999999999314826
"10","1","0","0",9.14562115940858e-05,3.48538529190775e-05,0.253971253462076,0.0350097483762349,0.234050019652141,0.476842668445035
"11","1","0","0",0.909205971496164,0.0233664321134573,0.0674007850938562,4.35267208331869e-06,1.41335694062716e-05,8.32505503256531e-06
"12","1","0","0",0.0314471678660425,0.0114715684046262,0.94887964408906,0.00132235957448024,0.00431817615920527,0.00256108390658605
"1","0","1","0",0.00950503430818508,0.00357542672330228,0.959702005151574,0.00431753306367466,0.0142873334504116,0.00861266730285248
"2","0","1","0",0.0137509795325301,0.00514212240679149,0.962213776320647,0.00301857572889097,0.00993080829323345,0.00594373771790657
"3","0","1","0",0.000274937314722833,0.000104751730034806,0.505617482392236,0.0441196709852105,0.217260674974994,0.232622482602802
"9","0","1","0",1.89210462646526e-14,7.21169902492506e-15,7.04449094396704e-11,1.36582524470422e-11,1.42830759039066e-10,0.99999999977304
"10","0","1","0",3.02962165276636e-05,1.15468272719332e-05,0.10135722534008,0.0173194091001822,0.147830468123912,0.733451054392026
"11","0","1","0",0.768360994707707,0.0524708947233844,0.179087173833565,1.31390548472332e-05,4.26654410778937e-05,2.51322394186904e-05
"12","0","1","0",0.0106404743353192,0.00399622394760668,0.961006589467954,0.0038732750407191,0.0127915059246865,0.00769193128371437
"1","1","1","0",0.0315389507778684,0.0115035618522252,0.948780309068737,0.00131844611211707,0.00430532374811943,0.00255340844093244
"2","1","1","0",0.0451786092103877,0.0161633986893311,0.933015560287583,0.000911705981624711,0.00297190950672699,0.00175881632434627
"3","1","1","0",0.000932420127344574,0.000354931574465328,0.77529990568715,0.0292274563814151,0.112183938176991,0.0820013480526335
"9","1","1","0",6.42109084482448e-14,2.44737917432618e-14,2.39063504556974e-10,4.63509673222412e-11,4.84713829094925e-10,0.999999999229783
"10","1","1","0",0.000102806498995959,3.91788196555417e-05,0.276760860607616,0.036830270037449,0.238499443524044,0.44776744051224
"11","1","1","0",0.918413039194547,0.0211544278732125,0.0604086819203237,3.87209514729481e-06,1.25730615053721e-05,7.40585526404214e-06
"12","1","1","0",0.0352129164462254,0.0127772059919882,0.944707222322856,0.00117831319175454,0.00384539443154097,0.00227894761563519
"1","0","0","1",0.00268908990379679,0.00102113565537264,0.905730279010734,0.0135702752033582,0.0469978325854289,0.0299913876413099
"2","0","0","1",0.00390231494719885,0.00147935097978512,0.930478887425594,0.00984759611329711,0.0334550789483904,0.0208367715857344
"3","0","0","1",7.72667926187096e-05,2.94468594228457e-05,0.223375672878229,0.0322376993458932,0.225310380611846,0.51896953351199
"9","0","0","1",5.31641021123099e-15,2.0263335230073e-15,1.97935162070258e-11,3.83767746082555e-12,4.01323951848045e-11,0.999999999936229
"10","0","0","1",8.51277573970628e-06,3.24458033874745e-06,0.0307197959056147,0.00573897004573182,0.056181138968662,0.907348337723913
"11","0","0","1",0.482408004898215,0.0803879764719765,0.436916025314882,4.67439607698683e-05,0.000151809738861197,8.94396152947285e-05
"12","0","0","1",0.00301279629798914,0.0011435453096952,0.914244351248168,0.0123298653041198,0.0424223876851751,0.0268470541548523
"1","1","0","1",0.009067395041482,0.00341287799303967,0.959013734842849,0.00451688165490971,0.0149605514373917,0.00902855903032751
"2","1","0","1",0.0131204342704298,0.00491064341424519,0.962173394781959,0.00316030951158508,0.0104036567650123,0.0062315612567686
"3","1","0","1",0.000262165921138612,9.9887562809507e-05,0.493741101509057,0.0442126991983033,0.220460700559268,0.241223445249423
"9","1","0","1",1.80418949656295e-14,6.8766131910211e-15,6.71717429998744e-11,1.30236326585018e-11,1.36194241927062e-10,0.999999999783585
"10","1","0","1",2.88885676959102e-05,1.10103500727698e-05,0.0971054358842559,0.0166848891061583,0.143521028985317,0.7426487471065
"11","1","0","1",0.759785012219166,0.053942578277553,0.186187529191255,1.3779199098729e-05,4.4744253886897e-05,2.63568590408436e-05
"12","1","0","1",0.0101510919072075,0.00381502199253695,0.960520592843214,0.00405315236097892,0.0133964170984341,0.00806372379762821
"1","0","1","1",0.00302184848555712,0.0011469668162814,0.914457102473526,0.0122983928935374,0.0423071413930651,0.0267685479380331
"2","0","1","1",0.00438454275389431,0.00166105195992911,0.93648992287203,0.00887596901996002,0.0300096790165459,0.0185788343776411
"3","0","1","1",8.6856237418351e-05,3.31010185688072e-05,0.244320452832468,0.0341761857847802,0.231653223345491,0.489730180781274
"9","0","1","1",5.97627778129573e-15,2.27784003300959e-15,2.22502678351609e-11,4.31400618641821e-12,4.51135883276753e-11,0.999999999928314
"10","0","1","1",9.56936292253363e-06,3.64728526072995e-06,0.0344014363495466,0.00639781036711801,0.0621549237600187,0.897032612875133
"11","0","1","1",0.511648538838934,0.0796936915259107,0.408401566803829,4.15851809464352e-05,0.000135052677460612,7.95649729199432e-05
"12","0","1","1",0.00338547560796614,0.00128433793553949,0.922080664435557,0.0111534971226549,0.0381422679143744,0.0239537569839079
"1","1","1","1",0.0101813726494676,0.00382624117177421,0.960553800904236,0.00404154452511429,0.0133573506837895,0.008039690065618
"2","1","1","1",0.0147249500655645,0.00549886623256829,0.962127794627149,0.00282270855905431,0.00927835695845158,0.00554732355721177
"3","1","1","1",0.000294696106277326,0.000112276809087127,0.5229288493579,0.0438955665061523,0.212307850550416,0.220460760670168
"9","1","1","1",2.02812371001364e-14,7.730131609718e-15,7.55090332137397e-11,1.4640113045249e-11,1.53098536343131e-10,0.999999999756724
"10","1","1","1",3.24740716675003e-05,1.23768381475752e-05,0.107857030768958,0.0182741593624843,0.154162761260415,0.719661197698328
"11","1","1","1",0.780486007767927,0.0503290984138336,0.16910938481358,1.22579871865147e-05,3.98042689357947e-05,2.34467485368262e-05
"12","1","1","1",0.0113966762133064,0.00427573041815654,0.961567220166203,0.00362439959956151,0.0119562091135174,0.00717976448925561
"4","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"4","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"4","0","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","0","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","0","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","0","1","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
