"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.927697086664988
"2","0","0","0",0.943681451366239
"3","0","0","0",0.999999991849718
"4","0","0","0",0.925067690350512
"5","0","0","0",0.199292401648597
"9","0","0","0",4.44128944959926e-08
"10","0","0","0",0.671608253175333
"12","0","0","0",0.949589180013997
"1","1","0","0",0.781273719821241
"2","1","0","0",0.823468847505107
"3","1","0","0",0.99999997072339
"4","1","0","0",0.774613131943391
"5","1","0","0",0.0647997399418631
"9","1","0","0",1.23640554758517e-08
"10","1","0","0",0.36279155360576
"12","1","0","0",0.839846613414644
"1","0","1","0",0.94392817144267
"2","0","1","0",0.956492534230367
"3","0","1","0",0.999999993788038
"4","0","1","0",0.941852043356436
"5","0","1","0",0.246169536455409
"9","0","1","0",5.82710581952035e-08
"10","0","1","0",0.728503598358146
"12","0","1","0",0.961111779414474
"1","1","1","0",0.824144057055896
"2","1","1","0",0.85955562872518
"3","1","1","0",0.999999977686024
"4","1","1","0",0.818485641293418
"5","1","1","0",0.083334241286439
"9","1","1","0",1.62220141592415e-08
"10","1","1","0",0.427589520253492
"12","1","1","0",0.873101356033726
"1","0","0","1",0.748919060260853
"2","0","0","1",0.79572384843195
"3","0","0","1",0.999999964940809
"4","0","0","1",0.741599084036366
"5","0","0","1",0.0546964121773212
"9","0","0","1",1.0324756910825e-08
"10","0","0","1",0.322235483146197
"12","0","0","1",0.814094554335457
"1","1","0","1",0.45366313948158
"2","1","0","1",0.520249686473477
"3","1","0","1",0.99999987406397
"4","1","0","1",0.444124380882901
"5","1","0","1",0.0158525653123126
"9","1","0","1",2.87429733028352e-09
"10","1","0","1",0.116886156596357
"12","1","0","1",0.549364158341595
"1","0","1","1",0.796478951194967
"2","0","1","1",0.836355196203143
"3","0","1","1",0.999999973278671
"4","0","1","1",0.790157024183583
"5","0","1","1",0.0705591171012731
"9","0","1","1",1.35463928669544e-08
"10","0","1","1",0.384156795114742
"12","0","1","1",0.85175265473408
"1","1","1","1",0.521410625024356
"2","1","1","1",0.587252483180253
"3","1","1","1",0.999999904014379
"4","1","1","1",0.511781770932765
"5","1","1","1",0.020696668850833
"9","1","1","1",3.77116490773301e-09
"10","1","1","1",0.147961706791915
"12","1","1","1",0.615307464261424
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"11","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"11","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"11","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"11","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"11","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"11","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"11","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"11","1","1","1",0
