"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"03-09","0","0","0",0.597151943367696
"03-10","0","0","0",0.476023217883187
"03-11","0","0","0",0.634382000773695
"03-12","0","0","0",0.649707872043493
"04-01","0","0","0",0.757921242250875
"04-02","0","0","0",6.82066143869779e-07
"03-09","1","0","0",0.185904826370448
"03-10","1","0","0",0.122772286365303
"03-11","1","0","0",0.210919411966309
"03-12","1","0","0",0.222233247713966
"04-01","1","0","0",0.325383872830461
"04-02","1","0","0",1.05074819116217e-07
"03-09","0","1","0",0.495358625502112
"03-10","0","1","0",0.375625219565494
"03-11","0","1","0",0.534665312893406
"03-12","0","1","0",0.551214062802297
"04-01","0","1","0",0.674616127169544
"04-02","0","1","0",4.51668590956118e-07
"03-09","1","1","0",0.131356181802189
"03-10","1","1","0",0.0848181323015679
"03-11","1","1","0",0.150386806820013
"03-12","1","1","0",0.159108357674551
"04-01","1","1","0",0.242078757749129
"04-02","1","1","0",6.95812080276798e-08
"03-09","0","0","1",0.519513986967726
"03-10","0","0","1",0.398553160363223
"03-11","0","0","1",0.558615669394213
"03-12","0","0","1",0.574989733198592
"04-01","0","0","1",0.695466096912453
"04-02","0","0","1",4.97507337773474e-07
"03-09","1","0","1",0.142783753917018
"03-10","1","0","1",0.0926287749582491
"03-11","1","0","1",0.163159007832974
"03-12","1","0","1",0.172470907116869
"04-01","1","0","1",0.260252862898339
"04-02","1","0","1",7.66428385777018e-08
"03-09","0","1","1",0.417247609091982
"03-10","0","1","1",0.304984026640586
"03-11","0","1","1",0.455956337138574
"03-12","0","1","1",0.472542823844294
"04-01","0","1","1",0.601955970781405
"04-02","0","1","1",3.29452541008134e-07
"03-09","1","1","1",0.0993437949130131
"03-10","1","1","1",0.0633206223234279
"03-11","1","1","1",0.114347053885137
"03-12","1","1","1",0.121276858452964
"04-01","1","1","1",0.18895220645667
"04-02","1","1","1",5.0753370679521e-08
"03-05","0","0","0",0
"03-06","0","0","0",0
"03-07","0","0","0",0
"03-08","0","0","0",0
"04-03","0","0","0",0
"04-04","0","0","0",0
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"03-05","1","0","0",0
"03-06","1","0","0",0
"03-07","1","0","0",0
"03-08","1","0","0",0
"04-03","1","0","0",0
"04-04","1","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"03-05","0","1","0",0
"03-06","0","1","0",0
"03-07","0","1","0",0
"03-08","0","1","0",0
"04-03","0","1","0",0
"04-04","0","1","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"03-05","1","1","0",0
"03-06","1","1","0",0
"03-07","1","1","0",0
"03-08","1","1","0",0
"04-03","1","1","0",0
"04-04","1","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"03-05","0","0","1",0
"03-06","0","0","1",0
"03-07","0","0","1",0
"03-08","0","0","1",0
"04-03","0","0","1",0
"04-04","0","0","1",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"03-05","1","0","1",0
"03-06","1","0","1",0
"03-07","1","0","1",0
"03-08","1","0","1",0
"04-03","1","0","1",0
"04-04","1","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"03-05","0","1","1",0
"03-06","0","1","1",0
"03-07","0","1","1",0
"03-08","0","1","1",0
"04-03","0","1","1",0
"04-04","0","1","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"03-05","1","1","1",0
"03-06","1","1","1",0
"03-07","1","1","1",0
"03-08","1","1","1",0
"04-03","1","1","1",0
"04-04","1","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
