"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",1.77381744944759
"2","0","0","0",1.82757311427349
"3","0","0","0",1.32753868905995
"4","0","0","0",1.34207230365425
"5","0","0","0",1
"10","0","0","0",1.45166395957935
"12","0","0","0",2.27963736648799
"1","1","0","0",1.11198730932214
"2","1","0","0",1.14568616435889
"3","1","0","0",0.832219896883161
"4","1","0","0",0.841330865428695
"5","1","0","0",0.626889373350368
"10","1","0","0",0.910032709936013
"12","1","0","0",1.42908044014373
"1","0","1","0",1.71437191235809
"2","0","1","0",1.76632607592569
"3","0","1","0",1.28304918964566
"4","0","1","0",1.29709574254954
"5","0","1","0",0.966487229501541
"10","0","1","0",1.40301467846109
"12","0","1","0",2.20324040260516
"1","1","1","0",1.07472153382763
"2","1","1","0",1.10729104686947
"3","1","1","0",0.804329902474664
"4","1","1","0",0.813135537222312
"5","1","1","0",0.605880573653353
"10","1","1","0",0.879534992581836
"12","1","1","0",1.38118799532936
"1","0","0","1",1.32601127309659
"2","0","0","1",1.36619613968145
"3","0","0","1",0.992397085570208
"4","0","0","1",1.0032616403173
"5","0","0","1",0.74754663931711
"10","0","0","1",1.08518651440131
"12","0","0","1",1.7041352521798
"1","1","0","1",0.831262376047043
"2","1","0","1",0.856453841878594
"3","1","0","1",0.622123187087838
"4","1","0","1",0.628934061004975
"5","1","0","1",0.468629044271675
"10","1","0","1",0.680291893981308
"12","1","0","1",1.06830428034326
"1","0","1","1",1.28157296162293
"2","0","1","1",1.32041112199642
"3","0","1","1",0.959139109798153
"4","0","1","1",0.969639563215441
"5","0","1","1",0.72249428035678
"10","0","1","1",1.04881890779616
"12","0","1","1",1.64702495857516
"1","1","1","1",0.803404470814574
"2","1","1","1",0.827751700833192
"3","1","1","1",0.601274115497193
"4","1","1","1",0.607856738159851
"5","1","1","1",0.452923986662086
"10","1","1","1",0.65749342786635
"12","1","1","1",1.0325024441736
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"9","0","0","0",0
"11","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"9","1","0","0",0
"11","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"9","0","1","0",0
"11","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"9","1","1","0",0
"11","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"9","0","0","1",0
"11","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"9","1","0","1",0
"11","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"9","0","1","1",0
"11","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"9","1","1","1",0
"11","1","1","1",0
