"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.0199104982563802
"2","0","0","0",0.0191640673287898
"3","0","0","0",1.14111101787102e-08
"4","0","0","0",1.22375007205264e-08
"5","0","0","0",9.83793933822475e-09
"9","0","0","0",0.852523168346244
"10","0","0","0",0.760067533387413
"11","0","0","0",0.999999993950853
"12","0","0","0",0.692629715131933
"1","1","0","0",0.0116948934592088
"2","1","0","0",0.0112529236420464
"3","1","0","0",6.64686319211315e-09
"4","1","0","0",7.12822782857258e-09
"5","1","0","0",5.7305061301169e-09
"9","1","0","0",0.771021275743752
"10","1","0","0",0.648535349827133
"11","1","0","0",0.999999989615028
"12","1","0","0",0.567583824883394
"1","0","1","0",0.0159659567737602
"2","0","1","0",0.0153650856822723
"3","0","1","0",9.11373369782505e-09
"4","0","1","0",9.77374865071908e-09
"5","0","1","0",7.85728626149104e-09
"9","0","1","0",0.821965973754149
"10","0","1","0",0.716719059378766
"11","0","1","0",0.999999992425993
"12","0","1","0",0.6428228692708
"1","1","1","0",0.00936242735351708
"2","1","1","0",0.00900780196398901
"3","1","1","0",5.3086632283781e-09
"4","1","1","0",5.69311566478648e-09
"5","1","1","0",4.5767945402323e-09
"9","1","1","0",0.728946058713638
"10","1","1","0",0.595753557179577
"11","1","1","0",0.9999999869972
"12","1","1","0",0.511796552446769
"1","0","0","1",0.0237251049422448
"2","0","0","1",0.0228389995136164
"3","0","0","1",1.36504675595585e-08
"4","0","0","1",1.46390319567846e-08
"5","0","0","1",1.17685720081251e-08
"9","0","0","1",0.87366011216496
"10","0","0","1",0.79121027359021
"11","0","0","1",0.999999994943215
"12","0","0","1",0.729409499698094
"1","1","0","1",0.0139579074564401
"2","1","0","1",0.0134315768137158
"3","1","0","1",7.95126758401437e-09
"4","1","0","1",8.52709695103942e-09
"5","1","0","1",6.85508131033193e-09
"9","1","0","1",0.801114275988426
"10","1","0","1",0.68821634155429
"11","1","0","1",0.999999991318682
"12","1","0","1",0.610921244058202
"1","0","1","1",0.019039518763779
"2","0","1","1",0.0183251297445861
"3","0","1","1",1.09022456444957e-08
"4","0","1","1",1.16917843089189e-08
"5","0","1","1",9.39922843734849e-09
"9","0","1","1",0.846694934275084
"10","0","1","1",0.751649883880661
"11","0","1","1",0.999999993668508
"12","0","1","1",0.682833397475016
"1","1","1","1",0.0111792041232418
"2","1","1","1",0.0107565109670544
"3","1","1","1",6.35045443742878e-09
"4","1","1","1",6.81035320535045e-09
"5","1","1","1",5.47496120040605e-09
"9","1","1","1",0.762868025557079
"10","1","1","1",0.638068045011101
"11","1","1","1",0.999999989130308
"12","1","1","1",0.556354851924001
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
