"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.774024973715348
"2","0","0",0.782875193141459
"3","0","0",0.775808719466284
"4","0","0",0.668632200580704
"5","0","0",0.784065894856422
"9","0","0",1.12045739519905e-07
"10","0","0",0.162220611991308
"12","0","0",0.462533036195345
"1","1","0",0.66587202489322
"2","1","0",0.677191476390464
"3","1","0",0.66814346040029
"4","1","0",0.540013989559061
"5","1","0",0.67872390096223
"9","1","0",6.51896681991376e-08
"10","1","0",0.101250762425042
"12","1","0",0.333642658132119
"1","0","1",0.885113595063312
"2","0","1",0.89023008314316
"3","0","1",0.886149436917248
"4","0","1",0.819445864738663
"5","0","1",0.890914089492419
"9","0","1",2.52017750475489e-07
"10","0","1",0.3033903168336
"12","0","1",0.659359934649925
"1","1","1",0.817599219116906
"2","1","1",0.825128427271248
"3","1","1",0.819119387683781
"4","1","1",0.72531707184286
"5","1","1",0.826138873586948
"9","1","1",1.46627212831523e-07
"10","1","1",0.202166012246065
"12","1","1",0.52967432226928
"6","0","0",0
"7","0","0",0
"8","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"11","1","1",0
