"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",2.83359139880595
"2","0","0","0",2.88238722765487
"8","0","0","0",1.1953694381684
"9","0","0","0",9.32786766235272e-08
"10","0","0","0",2.05172029553111
"11","0","0","0",1.42805470787711
"12","0","0","0",0.954391443816915
"1","1","0","0",1.98048746719423
"2","1","0","0",2.0145924293731
"8","1","0","0",0.835481852449555
"9","1","0","0",6.51954442292583e-08
"10","1","0","0",1.43401279845771
"11","1","0","0",0.99811301396882
"12","1","0","0",0.667054641001983
"1","0","1","0",2.26541825266965
"2","0","1","0",2.30442986223872
"8","0","1","0",0.955681805447066
"9","0","1","0",7.45750487162172e-08
"10","0","1","0",1.64032281041917
"11","0","1","0",1.14171055233965
"12","0","1","0",0.763023136619368
"1","1","1","0",1.58337312121145
"2","1","1","0",1.61063958025674
"8","1","1","0",0.667956515929236
"9","1","1","0",5.21228817288565e-08
"10","1","1","0",1.146473965709
"11","1","1","0",0.797977944535302
"12","1","1","0",0.533301223278233
"1","0","0","1",3.51633332565398
"2","0","0","1",3.57688630418388
"8","0","0","1",1.48338867547066
"9","0","0","1",1.15753781339972e-07
"10","0","0","1",2.54607366931479
"11","0","0","1",1.77213848202721
"12","0","0","1",1.1843480471555
"1","1","0","1",2.457677590661
"2","1","0","1",2.5
"8","1","0","1",1.03678768999139
"9","1","0","1",8.09040122442355e-08
"10","1","0","1",1.779532149468
"11","1","0","1",1.23860414570233
"12","1","0","1",0.827778650505446
"1","0","1","1",2.8112612502155
"2","0","1","1",2.8596725429915
"8","0","1","1",1.18594931599199
"9","0","1","1",9.25435929730751e-08
"10","0","1","1",2.03555169088171
"11","0","1","1",1.41680090684015
"12","0","1","1",0.946870351409991
"1","1","1","1",1.96488021364222
"2","1","1","1",1.99871641128664
"8","1","1","1",0.828897828402305
"9","1","1","1",6.46816708045954e-08
"10","1","1","1",1.42271204462155
"11","1","1","1",0.990247373241165
"12","1","1","1",0.661797909471178
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
