"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","04-10","04-11","04-12","05-01","05-02","05-03"
"04-08","0","0","0",0.00570043541030858,0.365539286062088,0.0638490064282297,0.182025717219816,0.252463747085318,0.13042180779424
"04-09","0","0","0",0.00242258679724696,0.197640526415625,0.0459265464667628,0.159732220591912,0.332787713904922,0.261490405823531
"04-10","0","0","0",0.00273836356385136,0.217709431687847,0.0490296564112784,0.166171844269973,0.325879187823375,0.238471516243676
"04-11","0","0","0",0.00246418186840868,0.200344067220866,0.0463604305827659,0.160674459676047,0.331948618764803,0.258208241887109
"04-12","0","0","0",0.00135787008933434,0.121473672242885,0.0316204215144499,0.122093036274649,0.336054238189461,0.387400761689222
"05-01","0","0","0",0.000284860672655746,0.0282236026625018,0.00835947710420739,0.0372965489521042,0.174734105538858,0.751101405069673
"05-02","0","0","0",1.5525565624544e-09,1.58339144544468e-07,4.86794090209075e-08,2.27897677926461e-07,1.36910105236167e-06,0.99999819443016
"04-08","1","0","0",0.00877924562425639,0.468248719553208,0.0663205579179271,0.170115426472656,0.198043675823126,0.0884923746088268
"04-09","1","0","0",0.00373768308663123,0.274955973498594,0.0564153154716161,0.178205296124691,0.300226844100701,0.186458887717767
"04-10","1","0","0",0.00422415276777971,0.29982078976127,0.0589644531256436,0.180904879826852,0.287548080233638,0.168537644284816
"04-11","1","0","0",0.00380177190540853,0.278335404393053,0.0567848481361197,0.178654560701408,0.298539410060405,0.183884004803606
"04-12","1","0","0",0.00209620159421558,0.175760573694585,0.0422313912120054,0.151195080982343,0.33826693838323,0.290449814133621
"05-01","1","0","0",0.000440008558799472,0.0429285961426408,0.0124664496319231,0.054290237742486,0.228473233334513,0.661401474589637
"05-02","1","0","0",2.39852066152952e-09,2.44615678304866e-07,7.52040523408097e-08,3.52075480392631e-07,2.11510049445126e-06,0.999997210605774
"04-08","0","1","0",0.00358974510107297,0.267029320595038,0.0555198437823518,0.177045161857045,0.304130195277084,0.192685733387409
"04-09","0","1","0",0.00152371987975605,0.134292611921885,0.0343147591823364,0.130086605066001,0.339388329707834,0.360393974242188
"04-10","0","1","0",0.00172253440772958,0.149167080771726,0.037293808010242,0.138456848016527,0.340770117029893,0.332589611763882
"04-11","0","1","0",0.00154990566024983,0.136281903942498,0.0347223031479754,0.131261034278023,0.339715240956783,0.356469612014471
"04-12","0","1","0",0.000853713324459563,0.0800250226793577,0.0220882965529507,0.0907171341177579,0.30473317123358,0.501582662091894
"05-01","0","1","0",0.000179024765301599,0.0179274468289494,0.00538307202123082,0.0244360720181254,0.124422395641,0.827651988725393
"05-02","0","1","0",9.75623099664731e-10,9.94999730850927e-08,3.0590036809435e-08,1.43210429486893e-07,8.60340780392485e-07,0.999998865383157
"04-08","1","1","0",0.00553491550852499,0.358814707984215,0.0634702960740426,0.182268915610492,0.256091691636164,0.133819473186561
"04-09","1","1","0",0.00235201855088094,0.193010857850895,0.0451720020609655,0.158062634530854,0.334149306018019,0.267253180988386
"04-10","1","1","0",0.00265862147711276,0.212738980000261,0.0482863725362773,0.164694250133618,0.327727243845123,0.243894532007608
"04-11","1","1","0",0.00239240489269027,0.195667082013297,0.045606698234585,0.159029256953907,0.333380023848992,0.263924534056528
"04-12","1","1","0",0.00131827530556427,0.118356039142811,0.030947221152958,0.120034337082388,0.334887862949485,0.394456264366794
"05-01","1","1","0",0.000276545619542376,0.027422584930094,0.00813091081694311,0.0363252443673003,0.171244845555429,0.756599868710691
"05-02","1","1","0",1.50722506331597e-09,1.5371596375098e-07,4.72580696279146e-08,2.21243532636894e-07,1.32912616855759e-06,0.99999824714904
"04-08","0","0","1",0.00177703332550012,0.153154093838578,0.0380656637432714,0.140543275304349,0.340760064065825,0.325699869722477
"04-09","0","0","1",0.00075349887736125,0.0713086831896915,0.0199214322571693,0.0829272521222059,0.292311486893059,0.532777646660514
"04-10","0","0","1",0.000851900937509352,0.079868859177269,0.022049976814075,0.090581468741049,0.304533385510908,0.50211440881919
