"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.799744918886894
"2","0","0","0",4.91765485012411e-07
"3","0","0","0",0.830594840941712
"4","0","0","0",0.857461667016669
"5","0","0","0",4.917654850118e-07
"9","0","0","0",3.82129135602983e-07
"10","0","0","0",0.354172120886783
"11","0","0","0",0.223464438432486
"12","0","0","0",0.718576717262264
"1","1","0","0",0.675815429780396
"2","1","0","0",2.5670005614853e-07
"3","1","0","0",0.719050167610243
"4","1","0","0",0.758463052476889
"5","1","0","0",2.56700056148211e-07
"9","1","0","0",1.99470211745558e-07
"10","1","0","0",0.222554091620545
"11","1","0","0",0.13059773792311
"12","1","0","0",0.571339584598218
"1","0","1","0",0.729875279772467
"2","0","1","0",3.32716617865357e-07
"3","0","1","0",0.768371386649078
"4","0","1","0",0.802763167351764
"5","0","1","0",3.32716617864943e-07
"9","0","1","0",2.58539309797508e-07
"10","0","1","0",0.270623601320544
"11","0","1","0",0.162968997743936
"12","0","1","0",0.633370003306959
"1","1","1","0",0.58513660027851
"2","1","1","0",1.73677028171636e-07
"3","1","1","0",0.633913771004564
"4","1","1","0",0.679954053225521
"5","1","1","0",1.7367702817142e-07
"9","1","1","0",1.34956701853846e-07
"10","1","1","0",0.162253602849541
"11","1","1","0",0.0922560066598195
"12","1","1","0",0.474174937598978
"1","0","0","1",0.875622498783674
"2","0","0","1",8.66892050956513e-07
"3","0","0","1",0.896298950560931
"4","0","0","1",0.913826529477371
"5","0","0","1",8.66892050955435e-07
"9","0","0","1",6.73623399554391e-07
"10","0","0","1",0.491541525519894
"11","0","0","1",0.336556588262433
"12","0","0","1",0.818218720642308
"1","1","0","1",0.786090665265369
"2","1","0","1",4.52515039871308e-07
"3","1","0","1",0.818566864341476
"4","1","0","1",0.846989859088071
"5","1","0","1",4.52515039870746e-07
"9","1","0","1",3.51629353401753e-07
"10","1","0","1",0.3353845094134
"11","1","0","1",0.20936270649018
"12","1","0","1",0.701454064763345
"1","0","1","1",0.826482857852392
"2","0","1","1",5.86518238942809e-07
"3","0","1","1",0.853965861346778
"4","0","1","1",0.877672046814193
"5","0","1","1",5.86518238942079e-07
"9","0","1","1",4.55757305520353e-07
"10","0","1","1",0.39542894332062
"11","0","1","1",0.255519442247177
"12","0","1","1",0.752802353139201
"1","1","1","1",0.713165661222139
"2","1","1","1",3.06160713341048e-07
"3","1","1","1",0.753237997178089
"4","1","1","1",0.789260481617443
"5","1","1","1",3.06160713340668e-07
"9","1","1","1",2.37903894171302e-07
"10","1","1","1",0.254521311449084
"11","1","1","1",0.151937883126017
"12","1","1","1",0.613849035089216
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
