"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","1","0","0","0",0.926027766418076
"1","1","0","0","0",0.873390119084477
"0","2","0","0","0",0.770596759594859
"1","2","0","0","0",0.649249344078041
"0","3","0","0","0",0.7984629668821
"1","3","0","0","0",0.68584664414235
"0","8","0","0","0",0.63482134372981
"1","8","0","0","0",0.489255219951481
"0","9","0","0","0",0.446621240737459
"1","9","0","0","0",0.307832019230626
"0","10","0","0","0",0.100928878625745
"1","10","0","0","0",0.0582558733798395
"0","11","0","0","0",0.728269707637698
"1","11","0","0","0",0.596263154110949
"0","12","0","0","0",0.901213092489059
"1","12","0","0","0",0.834081443837877
"0","1","1","0","0",0.896616663173405
"1","1","1","0","0",0.82696120623278
"0","2","1","0","0",0.699444516557114
"1","2","1","0","0",0.561859320056091
"0","3","1","0","0",0.732958623541331
"1","3","1","0","0",0.60198503761708
"0","8","1","0","0",0.546348336576198
"1","8","1","0","0",0.398908395744972
"0","9","1","0","0",0.358619353452819
"1","9","1","0","0",0.235537249077859
"0","10","1","0","0",0.072159838201976
"1","10","1","0","0",0.0410944900132899
"0","11","1","0","0",0.649952780402233
"1","11","1","0","0",0.505722002797536
"0","12","1","0","0",0.863391239225054
"1","12","1","0","0",0.77691952813994
"0","1","0","1","0",0.923208318896276
"1","1","0","1","0",0.868848536163624
"0","2","0","1","0",0.763366923358072
"1","2","0","1","0",0.639981862492391
"0","3","0","1","0",0.791874162590592
"1","3","0","1","0",0.677065163542012
"0","8","0","1","0",0.625392602857762
"1","8","0","1","0",0.47915170363185
"0","9","0","1","0",0.436645457458164
"1","9","0","1","0",0.299279691657955
"0","10","0","1","0",0.0973166376285384
"1","10","0","1","0",0.0560756412142774
"0","11","0","1","0",0.720190274663939
"1","11","0","1","0",0.586487347376431
"0","12","0","1","0",0.897552471115791
"1","12","0","1","0",0.828406857358289
"0","1","1","1","0",0.892805976788227
"1","1","1","1","0",0.82109533349065
"0","2","1","1","0",0.690871814992799
"1","2","1","1","0",0.551876549438736
"0","3","1","1","0",0.724965956072806
"1","3","1","1","0",0.592253033887941
"0","8","1","1","0",0.536303821539724
"1","8","1","1","0",0.389248700884361
"0","9","1","1","0",0.349368222567235
"1","9","1","1","0",0.228330879158041
"0","10","1","1","0",0.0694976493729894
"1","10","1","1","0",0.0395295653776012
"0","11","1","1","0",0.640693599026081
"1","11","1","1","0",0.495608408725732
"0","12","1","1","0",0.858549077931556
"1","12","1","1","0",0.769829439842511
"0","1","0","0","1",0.925365230624479
"1","1","0","0","1",0.872321134527518
"0","2","0","0","1",0.768889533918636
"1","2","0","0","1",0.647052670319583
"0","3","0","0","1",0.79690846683966
"1","3","0","0","1",0.683767533433117
"0","8","0","0","1",0.63258544557253
"1","8","0","0","1",0.486848501924445
"0","9","0","0","1",0.444241830250815
"1","9","0","0","1",0.305783439352185
"0","10","0","0","1",0.100058167628413
"1","10","0","0","1",0.057729663038054
"0","11","0","0","1",0.726359339713674
"1","11","0","0","1",0.593942181625703
"0","12","0","0","1",0.90035221913467
"1","12","0","0","1",0.832744128039777
"0","1","1","0","1",0.89572036929095
"1","1","1","0","1",0.825578502005043
"0","2","1","0","1",0.697415695195554
"1","2","1","0","1",0.559486685942997
"0","3","1","0","1",0.731069047424933
"1","3","1","0","1",0.59967487427772
"0","8","1","0","1",0.543959882938635
"1","8","1","0","1",0.396601000973146
"0","9","1","0","1",0.356406822797822
"1","9","1","0","1",0.233807266341191
"0","10","1","0","1",0.0715175744967157
"1","10","1","0","1",0.0407165919466587
"0","11","1","0","1",0.647758121980913
"1","11","1","0","1",0.503314106289028
"0","12","1","0","1",0.862251147564268
"1","12","1","0","1",0.775245632727667
"0","1","0","1","1",0.922522643373713
"1","1","0","1","1",0.867747012818308
"0","2","0","1","1",0.761622537033377
"1","2","0","1","1",0.637759531336036
"0","3","0","1","1",0.790282189842264
"1","3","0","1","1",0.674955479292907
"0","8","0","1","1",0.623133246641565
"1","8","0","1","1",0.476748293809601
"0","9","0","1","1",0.434277485520181
"1","9","0","1","1",0.297263583395553
"0","10","0","1","1",0.0964737454692686
"1","10","0","1","1",0.0555679623287289
"0","11","0","1","1",0.718245080751987
"1","11","0","1","1",0.584149370819595
"0","12","0","1","1",0.896663355280756
"1","12","0","1","1",0.827033288755594
"0","1","1","1","1",0.891880629537049
"1","1","1","1","1",0.819675977574465
"0","2","1","1","1",0.688810871742003
