"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.654816765096423
"8","0","0","0",0.77056077284461
"9","0","0","0",0.87426238786542
"10","0","0","0",0.251582115540734
"12","0","0","0",0.552287502297466
"1","1","0","0",0.256055745851348
"8","1","0","0",0.378629199217591
"9","1","0","0",0.557823201337699
"10","1","0","0",0.0574841740139107
"12","1","0","0",0.182883324528053
"1","0","1","0",0.643357979179913
"8","0","1","0",0.761545071792812
"9","0","1","0",0.868626858953991
"10","0","1","0",0.24222795873229
"12","0","1","0",0.53981705478918
"1","1","1","0",0.246590058053282
"8","1","1","0",0.366866811625135
"9","1","1","0",0.545380021011032
"10","1","1","0",0.0548182367041924
"12","1","1","0",0.175484560025378
"1","0","0","1",0.743944254148655
"8","0","0","1",0.837231437008859
"9","0","0","1",0.914156359692874
"10","0","0","1",0.339863810443863
"12","0","0","1",0.65389584801673
"1","1","0","1",0.345183234903581
"8","1","0","1",0.482736920300258
"9","1","0","1",0.658951028067129
"10","1","0","1",0.0854303529174451
"12","1","0","1",0.255280889936685
"1","0","1","1",0.734243381885426
"8","0","1","1",0.830258430939074
"9","0","1","1",0.910125056923169
"10","0","1","1",0.328668706825897
"12","0","1","1",0.642423185060588
"1","1","1","1",0.333901537966235
"8","1","1","1",0.470187637482794
"9","1","1","1",0.647555615890728
"10","1","1","1",0.0815805403920107
"12","1","1","1",0.245834381023799
"2","0","0","0",0
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"11","0","0","0",0
"2","1","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"11","1","0","0",0
"2","0","1","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"11","0","1","0",0
"2","1","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"11","1","1","0",0
"2","0","0","1",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"11","0","0","1",0
"2","1","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"11","1","0","1",0
"2","0","1","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"11","0","1","1",0
"2","1","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"11","1","1","1",0
