"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",1.96465963791613
"2","0","0","0",3.96270352585701
"3","0","0","0",1.73474172123884
"8","0","0","0",2.16106116947205
"10","0","0","0",1.72783873639602
"11","0","0","0",1.72783873639601
"12","0","0","0",1.90382504282903
"1","1","0","0",1.22863018558827
"2","1","0","0",2.47813772647616
"3","1","0","0",1.08484747270222
"8","1","0","0",1.35145291045541
"10","1","0","0",1.08053058473605
"11","1","0","0",1.08053058473604
"12","1","0","0",1.19058633391565
"1","0","1","0",1.87499817922161
"2","0","1","0",3.78185704657618
"3","0","1","0",1.65557306007089
"8","0","1","0",2.06243650541141
"10","0","1","0",1.64898510775503
"11","0","1","0",1.64898510775503
"12","0","1","0",1.81693990143106
"1","1","1","0",1.17255901045443
"2","1","1","0",2.36504259329703
"3","1","1","0",1.03533813022562
"8","1","1","0",1.28977645669728
"10","1","1","0",1.03121825270573
"11","1","1","0",1.03121825270573
"12","1","1","0",1.1362513715942
"1","0","0","1",1.81823602743838
"2","0","0","1",3.66736821875804
"3","0","0","1",1.60545360376135
"8","0","0","1",1.99999999999997
"10","0","0","1",1.59906508969212
"11","0","0","1",1.59906508969211
"12","0","0","1",1.7619353581686
"1","1","0","1",1.13706192396988
"2","1","0","1",2.29344524022106
"3","1","0","1",1.00399515573845
"8","1","0","1",1.25073082571332
"10","1","0","1",1
"11","1","0","1",1
"12","1","0","1",1.10185343268788
"1","0","1","1",1.73525692442999
"2","0","1","1",3.50000000000002
"3","0","1","1",1.53218528328406
"8","0","1","1",1.90872570804207
"10","0","1","1",1.526088322764
"11","0","1","1",1.52608832276399
"12","0","1","1",1.68152565702239
"1","1","1","1",1.08516966295856
"2","1","1","1",2.18877894499837
"3","1","1","1",0.958175682253855
"8","1","1","1",1.19365104043987
"10","1","1","1",0.954362854021054
"11","1","1","1",0.954362854021052
"12","1","1","1",1.05156798673289
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"9","0","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"9","1","0","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"9","0","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"9","1","1","0",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"9","0","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"9","1","0","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"9","0","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"9","1","1","1",0
