"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.101675208014783
"2","0","0","0",0.95376984116885
"3","0","0","0",0.0124088927686941
"4","0","0","0",1.32942534775376e-08
"5","0","0","0",0.471512183651413
"9","0","0","0",0.852253925623783
"10","0","0","0",0.867563653776642
"11","0","0","0",0.876295485332126
"12","0","0","0",0.801573545952035
"1","1","0","0",0.0397398571526468
"2","1","0","0",0.882952194476745
"3","1","0","0",0.00457320743939083
"4","1","0","0",4.86093342672332e-09
"5","1","0","0",0.24597860020283
"9","1","0","0",0.678369342613174
"10","1","0","0",0.705470411590393
"11","1","0","0",0.72145817353032
"12","1","0","0",0.596296374345946
"1","0","1","0",0.110799737080542
"2","0","1","0",0.957829147047863
"3","0","1","0",0.0136441643692336
"4","0","1","0",1.46359668727294e-08
"5","0","1","0",0.49551894566284
"9","0","1","0",0.863955537431032
"10","0","1","0",0.878225976235072
"11","0","1","0",0.886346910145505
"12","0","1","0",0.816424485709183
"1","1","1","0",0.043575804724688
"2","1","1","0",0.892529073272135
"3","1","1","0",0.00503243255554183
"4","1","1","0",5.35151979649152e-09
"5","1","1","0",0.264243908174293
"9","1","1","0",0.698978468879917
"10","1","1","0",0.72504683433104
"11","1","1","0",0.740363034571417
"12","1","1","0",0.619212473333085
"1","0","0","1",0.0750913075692773
"2","0","0","1",0.936704165539561
"3","0","0","1",0.00893240200083438
"4","0","0","1",9.53615010228062e-09
"5","0","0","1",0.390236827462891
"9","0","0","1",0.805361523846972
"10","0","0","1",0.824529898251595
"11","0","0","1",0.835561256962107
"12","0","0","1",0.743438220801395
"1","1","0","1",0.0288298153698917
"2","1","0","1",0.844019761860712
"3","1","0","1",0.00328467068704524
"4","1","0","1",3.48681411575614e-09
"5","1","0","1",0.18962967647417
"9","1","0","1",0.602057637424521
"10","1","0","1",0.632101602246643
"11","1","0","1",0.650096667280363
"12","1","0","1",0.514449670707834
"1","0","1","1",0.0820480420238106
"2","0","1","1",0.942171092207186
"3","0","1","1",0.00982504130599675
"4","0","1","1",1.04985795012195e-08
"5","0","1","1",0.413341991839513
"9","0","1","1",0.819992624070471
"10","0","1","1",0.838009921207252
"11","0","1","1",0.848349691903494
"12","0","1","1",0.761344760317673
"1","1","1","1",0.0316473626192468
"2","1","1","1",0.856263537803074
"3","1","1","1",0.0036149754477616
"4","1","1","1",3.83871843773041e-09
"5","1","1","1",0.204847499871663
"9","1","1","1",0.624852448306957
"10","1","1","1",0.654164008953468
"11","1","1","1",0.671640516943384
"12","1","1","1",0.538415366530143
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
