"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.999999999999997
"8","0","0","0",4.64104916377197
"9","0","0","0",3.73531044739298
"10","0","0","0",7.25773769308085
"12","0","0","0",1.08342419452389
"1","1","0","0",0.411375524928227
"8","1","0","0",1.90921403596441
"9","1","0","0",1.53661529606618
"10","1","0","0",2.98565565328252
"12","1","0","0",0.445694196742208
"1","0","1","0",0.669813911353907
"8","0","1","0",3.10863929317189
"9","0","1","0",2.50196290088941
"10","0","1","0",4.86133367178318
"12","0","1","0",0.725692597389504
"1","1","1","0",0.275545049387443
"8","1","1","0",1.2788181210411
"9","1","1","0",1.02924630170433
"10","1","1","0",1.99983369108108
"12","1","1","0",0.298532173187637
"1","0","0","1",0.595190711396171
"8","0","0","1",2.76230935341005
"9","0","0","1",2.22322208246938
"10","0","0","1",4.3197380606716
"12","0","0","1",0.644844017082498
"1","1","0","1",0.244846891333005
"8","1","0","1",1.13634646027321
"9","1","0","1",0.91457915120787
"10","1","0","1",1.77703451226123
"12","1","0","1",0.26527304602414
"1","0","1","1",0.398667018401785
"8","0","1","1",1.85023323237707
"9","0","1","1",1.4891450788672
"10","0","1","1",2.8934206464428
"12","0","1","1",0.431925493295195
"1","1","1","1",0.164001853966606
"8","1","1","1",0.76114066720877
"9","1","1","1",0.612597838513282
"10","1","1","1",1.19028243726858
"12","1","1","1",0.177683576534195
"2","0","0","0",0
"3","0","0","0",0
"4","0","0","0",0
"5","0","0","0",0
"6","0","0","0",0
"7","0","0","0",0
"11","0","0","0",0
"2","1","0","0",0
"3","1","0","0",0
"4","1","0","0",0
"5","1","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"11","1","0","0",0
"2","0","1","0",0
"3","0","1","0",0
"4","0","1","0",0
"5","0","1","0",0
"6","0","1","0",0
"7","0","1","0",0
"11","0","1","0",0
"2","1","1","0",0
"3","1","1","0",0
"4","1","1","0",0
"5","1","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"11","1","1","0",0
"2","0","0","1",0
"3","0","0","1",0
"4","0","0","1",0
"5","0","0","1",0
"6","0","0","1",0
"7","0","0","1",0
"11","0","0","1",0
"2","1","0","1",0
"3","1","0","1",0
"4","1","0","1",0
"5","1","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"11","1","0","1",0
"2","0","1","1",0
"3","0","1","1",0
"4","0","1","1",0
"5","0","1","1",0
"6","0","1","1",0
"7","0","1","1",0
"11","0","1","1",0
"2","1","1","1",0
"3","1","1","1",0
"4","1","1","1",0
"5","1","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"11","1","1","1",0
