"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","12"
"1","0","0","0",0.266159051258362,0.0246329290288215,0.499697915707062,0.209510104005755
"8","0","0","0",0.831078693233864,0.0165276194096131,0.133229667158912,0.0191640201976114
"9","0","0","0",0.720994262376511,0.0239935204079679,0.219147512876902,0.0358647043386189
"10","0","0","0",0.573049532682553,0.029706446832831,0.330410777260801,0.0668332432238152
"12","0","0","0",0.351690588957484,0.0284482997528684,0.469332727624076,0.150528383665572
"1","1","0","0",0.413881010105616,0.030034306692898,0.436264581207276,0.11982010199421
"8","1","0","0",0.905470732743219,0.00998935377817933,0.0746041058367501,0.0099358076418512
"9","1","0","0",0.83419472125806,0.0162775944056865,0.130779494864266,0.0187481894719872
"10","1","0","0",0.723233530798349,0.0238684972726618,0.217417145029155,0.0354808268998341
"12","1","0","0",0.513656016085577,0.0305520391911114,0.372368545480687,0.0834233992426242
"1","0","1","0",0.339473542101602,0.0280202435927062,0.474938499712778,0.157567714592913
"8","0","1","0",0.874555091021491,0.0128501056087327,0.0989939393463704,0.0136008640234062
"9","0","1","0",0.785490765244575,0.0199438016608212,0.168985518825392,0.0255799142692115
"10","0","1","0",0.655399959063119,0.0271507568116248,0.269338412129676,0.0481108719955807
"12","0","1","0",0.43461183592501,0.0303452912780247,0.423890115633302,0.111152757163664
"1","1","1","0",0.500153193066093,0.0306254179548717,0.381572976288273,0.0876484126907624
"8","1","1","0",0.931381228410021,0.00743628127756979,0.0541501720217789,0.00703231829062989
"9","1","1","0",0.876987833251446,0.0126323569124306,0.0970757016728166,0.0133041081633064
"10","1","1","0",0.787365054422684,0.0198123188295155,0.167519395863119,0.0253032308846817
"12","1","1","0",0.599454985991962,0.0290602136907276,0.3111306813441,0.0603541189732105
"1","0","0","1",0.107391761086327,0.0123364142277218,0.436141256138532,0.444130568547419
"8","0","0","1",0.620065312569222,0.028441683547358,0.295868740065578,0.0556242638178415
"9","0","0","1",0.461559199132102,0.0305890203481332,0.407019580387519,0.100832200132246
"10","0","0","1",0.308069115016404,0.0267420259335751,0.487621599136477,0.177567259913544
"12","0","0","1",0.152505672110593,0.0165373423676225,0.482765169153516,0.348191816368268
"1","1","0","1",0.189784602849417,0.019581131575725,0.499662431462261,0.290971834112598
"8","1","0","1",0.760619590446049,0.0216151060023718,0.188400632476794,0.029364671074785
"9","1","0","1",0.625318949064427,0.0282681161450683,0.29195170682622,0.0544612279642848
"10","1","0","1",0.464333685665677,0.0306038764342371,0.40523749567923,0.0998249422208562
"12","1","0","1",0.259450140532038,0.024252063838232,0.500994697724613,0.215303097905116
"1","0","1","1",0.145653387826582,0.0159359716990736,0.477859286776742,0.360551353697602
"8","0","1","1",0.698124449008751,0.025205545677598,0.236762364599775,0.039907640713876
"9","0","1","1",0.548469770831902,0.0301591176774043,0.348037121458926,0.0733339900317678
"10","0","1","1",0.386842349317606,0.029465837660543,0.451472190744379,0.132219622277473
"12","0","1","1",0.203181820079303,0.0205816459630741,0.502461651807058,0.273774882150565
"1","1","1","1",0.249205654428495,0.0236472869662891,0.502576293479231,0.224570765125985
"8","1","1","1",0.818264971566792,0.0175336355393839,0.143297934389904,0.0209034585039203
"9","1","1","1",0.702816028546177,0.0249665614625432,0.23315778123893,0.0390596287523498
"10","1","1","1",0.551231846675997,0.0301154513664135,0.346073450577249,0.0725792513803413
"12","1","1","1",0.331752071500117,0.0277297700084616,0.478298935730884,0.162219222760537
"2","0","0","0",0.25,0.25,0.25,0.25
"3","0","0","0",0.25,0.25,0.25,0.25
"4","0","0","0",0.25,0.25,0.25,0.25
"5","0","0","0",0.25,0.25,0.25,0.25
"6","0","0","0",0.25,0.25,0.25,0.25
"7","0","0","0",0.25,0.25,0.25,0.25
"11","0","0","0",0.25,0.25,0.25,0.25
"2","1","0","0",0.25,0.25,0.25,0.25
"3","1","0","0",0.25,0.25,0.25,0.25
"4","1","0","0",0.25,0.25,0.25,0.25
"5","1","0","0",0.25,0.25,0.25,0.25
"6","1","0","0",0.25,0.25,0.25,0.25
"7","1","0","0",0.25,0.25,0.25,0.25
"11","1","0","0",0.25,0.25,0.25,0.25
"2","0","1","0",0.25,0.25,0.25,0.25
"3","0","1","0",0.25,0.25,0.25,0.25
"4","0","1","0",0.25,0.25,0.25,0.25
"5","0","1","0",0.25,0.25,0.25,0.25
"6","0","1","0",0.25,0.25,0.25,0.25
"7","0","1","0",0.25,0.25,0.25,0.25
"11","0","1","0",0.25,0.25,0.25,0.25
"2","1","1","0",0.25,0.25,0.25,0.25
"3","1","1","0",0.25,0.25,0.25,0.25
"4","1","1","0",0.25,0.25,0.25,0.25
"5","1","1","0",0.25,0.25,0.25,0.25
"6","1","1","0",0.25,0.25,0.25,0.25
"7","1","1","0",0.25,0.25,0.25,0.25
"11","1","1","0",0.25,0.25,0.25,0.25
"2","0","0","1",0.25,0.25,0.25,0.25
"3","0","0","1",0.25,0.25,0.25,0.25
"4","0","0","1",0.25,0.25,0.25,0.25
"5","0","0","1",0.25,0.25,0.25,0.25
