"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","03-09","0","0","0",0.637619622164239
"1","03-09","0","0","0",0.549295222185852
"0","03-10","0","0","0",0.579054239533385
"1","03-10","0","0","0",0.487919401100749
"0","03-11","0","0","0",0.669595103453383
"1","03-11","0","0","0",0.583979266950266
"0","03-12","0","0","0",0.715479143326822
"1","03-12","0","0","0",0.63527675961117
"0","04-01","0","0","0",0.743607987106093
"1","04-01","0","0","0",0.667651554824989
"0","04-02","0","0","0",0.419756797073658
"1","04-02","0","0","0",0.333811588166489
"0","04-03","0","0","0",0.452710946831224
"1","04-03","0","0","0",0.36425410706747
"0","03-09","1","0","0",0.181799309584818
"1","03-09","1","0","0",0.133376551150693
"0","03-10","1","0","0",0.148001850366039
"1","03-10","1","0","0",0.10739950424851
"0","03-11","1","0","0",0.203769803242686
"1","03-11","1","0","0",0.150572057474342
"0","03-12","1","0","0",0.241018108029415
"1","03-12","1","0","0",0.180298001154528
"0","04-01","1","0","0",0.268068317364976
"1","04-01","1","0","0",0.202350283188774
"0","04-02","1","0","0",0.0837062326037425
"1","04-02","1","0","0",0.0595105096572946
"0","04-03","1","0","0",0.0945781063376729
"1","04-03","1","0","0",0.0674712146160935
"0","03-09","0","1","0",0.597336656969436
"1","03-09","0","1","0",0.506788600479427
"0","03-10","0","1","0",0.536988483190856
"1","03-10","0","1","0",0.445467964642751
"0","03-11","0","1","0",0.63080851244433
"1","03-11","0","1","0",0.542016414276006
"0","03-12","0","1","0",0.679500759966607
"1","03-12","0","1","0",0.594898821603157
"0","04-01","0","1","0",0.709743574129976
"1","04-01","0","1","0",0.628763302305971
"0","04-02","0","1","0",0.378848344994951
"1","04-02","0","1","0",0.29699196311475
"0","04-03","0","1","0",0.410864991243827
"1","04-03","0","1","0",0.325718390910161
"0","03-09","1","1","0",0.157775734253891
"1","03-09","1","1","0",0.114853509744875
"0","03-10","1","1","0",0.127747084014904
"1","03-10","1","1","0",0.0921006952417054
"0","03-11","1","1","0",0.177472706343432
"1","03-11","1","1","0",0.130019223995722
"0","03-12","1","1","0",0.211188998084115
"1","03-12","1","1","0",0.156434883248465
"0","04-01","1","1","0",0.235932073023836
"1","04-01","1","1","0",0.176195841166266
"0","04-02","1","1","0",0.0715120774214793
"1","04-02","1","1","0",0.0506463131829364
"0","04-03","1","1","0",0.0809400615412537
"1","04-03","1","1","0",0.0574937445770555
"0","03-09","0","0","1",0.607504304411932
"1","03-09","0","0","1",0.517395408311258
"0","03-10","0","0","1",0.547525685437702
"1","03-10","0","0","1",0.455977885491502
"0","03-11","0","0","1",0.640639437231914
"1","03-11","0","0","1",0.552534540290288
"0","03-12","0","0","1",0.688675005300817
"1","03-12","0","0","1",0.605087329586485
"0","04-01","0","0","1",0.718410872839951
"1","04-01","0","0","1",0.638617487783374
"0","04-02","0","0","1",0.388888769449957
"1","04-02","0","0","1",0.305931467982377
"0","04-03","0","0","1",0.421178587821376
"1","04-03","0","0","1",0.335110394239289
"0","03-09","1","0","1",0.163499381892327
"1","03-09","1","0","1",0.119240513581019
"0","03-10","1","0","1",0.132552825948571
"1","03-10","1","0","1",0.0957125959553485
"0","03-11","1","0","1",0.183755004113635
"1","03-11","1","0","1",0.134897222798811
"0","03-12","1","0","1",0.218347978244856
"1","03-12","1","0","1",0.162119251795934
"0","04-01","1","0","1",0.243670707221598
"1","04-01","1","0","1",0.182442965170906
"0","04-02","1","0","1",0.0743827077402043
"1","04-02","1","0","1",0.0527269172664092
"0","04-03","1","0","1",0.0841548469989104
"1","04-03","1","0","1",0.0598379180132562
"0","03-09","0","1","1",0.566151483686238
"1","03-09","0","1","1",0.474757051086345
