"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","04-08","0","0","0",0.309929160412495
"1","04-08","0","0","0",0.771379542418796
"0","04-09","0","0","0",0.883958896091565
"1","04-09","0","0","0",0.982825972952278
"0","04-10","0","0","0",0.537328806020034
"1","04-10","0","0","0",0.897169366645682
"0","04-11","0","0","0",0.806037207010981
"1","04-11","0","0","0",0.968962547532314
"0","04-12","0","0","0",0.283334030130829
"1","04-12","0","0","0",0.748115070416388
"0","05-01","0","0","0",0.0238446536737005
"1","05-01","0","0","0",0.155054701342714
"0","05-02","0","0","0",0.00840742420906216
"1","05-02","0","0","0",0.0598820037233798
"0","05-03","0","0","0",4.56915841374592e-10
"1","05-03","0","0","0",3.43257849484402e-09
"0","04-08","1","0","0",0.119711134426688
"1","04-08","1","0","0",0.505349622561046
"0","04-09","1","0","0",0.697568964103035
"1","04-09","1","0","0",0.945438271221148
"0","04-10","1","0","0",0.260162446586223
"1","04-10","1","0","0",0.725407100514476
"0","04-11","1","0","0",0.557185080424585
"1","04-11","1","0","0",0.904332058428143
"0","04-12","1","0","0",0.106909873978128
"1","04-12","1","0","0",0.473491495841848
"0","05-01","1","0","0",0.00734196513270064
"1","05-01","1","0","0",0.0526395500798228
"0","05-02","1","0","0",0.00256068848748941
"1","05-02","1","0","0",0.0189216165903009
"0","05-03","1","0","0",1.38349243647776e-10
"1","05-03","1","0","0",1.03934816109649e-09
"0","04-08","0","1","0",0.217016399841895
"1","04-08","0","1","0",0.675557283678345
"0","04-09","0","1","0",0.824592540786555
"1","04-09","0","1","0",0.972464180487313
"0","04-10","0","1","0",0.417487813442934
"1","04-10","0","1","0",0.843363870991554
"0","04-11","0","1","0",0.71945810588023
"1","04-11","0","1","0",0.95065632476904
"0","04-12","0","1","0",0.196128139068465
"1","04-12","0","1","0",0.647004085531411
"0","05-01","0","1","0",0.0148506439014483
"1","05-01","0","1","0",0.101726911362273
"0","05-02","0","1","0",0.00520516309378628
"1","05-02","0","1","0",0.0378216660628996
"0","05-03","0","1","0",2.8197288011118e-10
"1","05-03","0","1","0",2.11832017596452e-09
"0","04-08","1","1","0",0.0774251530199718
"1","04-08","1","1","0",0.38668007795884
"0","04-09","1","1","0",0.587359372365669
"1","04-09","1","1","0",0.914481739770871
"0","04-10","1","1","0",0.17831393458298
"1","04-10","1","1","0",0.619813111719533
"0","04-11","1","1","0",0.437099320702429
"1","04-11","1","1","0",0.853663089484449
"0","04-12","1","1","0",0.068792356512151
"1","04-12","1","1","0",0.356905221223818
"0","05-01","1","1","0",0.00454366178436292
"1","05-01","1","1","0",0.0331532187506081
"0","05-02","1","1","0",0.00158180840326602
"1","05-02","1","1","0",0.0117621614052883
"0","05-03","1","1","0",8.53783807767488e-11
"1","05-03","1","1","0",6.41404757616457e-10
"0","04-08","0","0","1",0.339539443471211
"1","04-08","0","0","1",0.794329094333028
"0","04-09","0","0","1",0.897114733322448
"1","04-09","0","0","1",0.984963693914495
"0","04-10","0","0","1",0.570697326412183
"1","04-10","0","0","1",0.908981716721493
"0","04-11","0","0","1",0.826291178591134
"1","04-11","0","0","1",0.972778109465705
"0","04-12","0","0","1",0.311550586272329
"1","04-12","0","0","1",0.772711859248624
"0","05-01","0","0","1",0.0272000805442644
"1","05-01","0","0","1",0.173590590566213
"0","05-02","0","0","1",0.00961190978399582
"1","05-02","0","0","1",0.0679555839637788
"0","05-03","0","0","1",5.23010969420744e-10
"1","05-03","0","0","1",3.92911788750302e-09
"0","04-08","1","0","1",0.134695445116392
"1","04-08","1","0","1",0.539045967652831
"0","04-09","1","0","1",0.725289153322944
"1","04-09","1","0","1",0.952002517551935
"0","04-10","1","0","1",0.28699550100319
"1","04-10","1","0","1",0.751484730214009
"0","04-11","1","0","1",0.59021368058745
"1","04-11","1","0","1",0.915399203700179
"0","04-12","1","0","1",0.120511203492272
"1","04-12","1","0","1",0.507241915309838
