"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","1","0","0","0",0.46984874314209
"1","1","0","0","0",0.332593940156712
"0","2","0","0","0",0.735246286673073
"1","2","0","0","0",0.520462091342098
"0","3","0","0","0",6.14421235331315e-07
"1","3","0","0","0",4.34933119557152e-07
"0","5","0","0","0",6.14421235333591e-07
"1","5","0","0","0",4.34933119558763e-07
"0","9","0","0","0",1.47760326328598
"1","9","0","0","0",1.04595765870992
"0","10","0","0","0",1.3770054729054
"1","10","0","0","0",0.974747048993296
"0","11","0","0","0",1.66838556513174
"1","11","0","0","0",1.18100758362556
"0","12","0","0","0",1.6591482775988
"1","12","0","0","0",1.17446874340989
"0","1","1","0","0",0.178053835670081
"1","1","1","0","0",0.126039768393333
"0","2","1","0","0",0.27862886389532
"1","2","1","0","0",0.197234265360815
"0","3","1","0","0",2.32841013761753e-07
"1","3","1","0","0",1.64822214228389e-07
"0","5","1","0","0",2.32841013762616e-07
"1","5","1","0","0",1.64822214228999e-07
"0","9","1","0","0",0.559952394183874
"1","9","1","0","0",0.396376016324636
"0","10","1","0","0",0.521829864968591
"1","10","1","0","0",0.3693900503398
"0","11","1","0","0",0.632251237412514
"1","11","1","0","0",0.447554523214701
"0","12","1","0","0",0.62875067579469
"1","12","1","0","0",0.445076564939347
"0","1","0","1","0",0.404111488464527
"1","1","0","1","0",0.286060214425995
"0","2","0","1","0",0.632376856663458
"1","2","0","1","0",0.447643445878092
"0","3","0","1","0",5.2845662264305e-07
"1","3","0","1","0",3.74080963059228e-07
"0","5","0","1","0",5.28456622645007e-07
"1","5","0","1","0",3.74080963060613e-07
"0","9","0","1","0",1.27086953578582
"1","9","0","1","0",0.899616126469685
"0","10","0","1","0",1.18434653577718
"1","10","0","1","0",0.838368701831265
"0","11","0","1","0",1.43495919463218
"1","11","0","1","0",1.01577101029402
"0","12","0","1","0",1.42701431009478
"1","12","0","1","0",1.01014702919169
"0","1","1","1","0",0.153142051797922
"1","1","1","1","0",0.108405352051247
"0","2","1","1","0",0.239645474339103
"1","2","1","1","0",0.169638918299846
"0","3","1","1","0",2.0026387219343e-07
"1","3","1","1","0",1.41761686704588e-07
"0","5","1","1","0",2.00263872194172e-07
"1","5","1","1","0",1.41761686705113e-07
"0","9","1","1","0",0.481608600184099
"1","9","1","1","0",0.340918442981014
"0","10","1","1","0",0.448819852209176
"1","10","1","1","0",0.317708124679733
"0","11","1","1","0",0.543792001923143
"1","11","1","1","0",0.384936486869836
"0","12","1","1","0",0.540781209223389
"1","12","1","1","0",0.382805223518338
"0","1","0","0","1",0.654162433678783
"1","1","0","0","1",0.46306490013092
"0","2","0","0","1",1.02367093083378
"1","2","0","0","1",0.724630539677603
"0","3","0","0","1",8.55448261754116e-07
"1","3","0","0","1",6.05550003335795e-07
"0","5","0","0","1",8.55448261757285e-07
"1","5","0","0","1",6.05550003338038e-07
"0","9","0","0","1",2.05724195463167
"1","9","0","0","1",1.45626910262846
"0","10","0","0","1",1.91718135781494
"1","10","0","0","1",1.35712377887075
"0","11","0","0","1",2.32286491670165
"1","11","0","0","1",1.64429682184753
"0","12","0","0","1",2.31000399798827
"1","12","0","0","1",1.63519290555244
"0","1","1","0","1",0.247901334563234
"1","1","1","0","1",0.175483031158303
"0","2","1","0","1",0.387930240017255
"1","2","1","0","1",0.274605921408752
"0","3","1","0","1",3.24180593107516e-07
"1","3","1","0","1",2.29479172516083e-07
"0","5","1","0","1",3.24180593108716e-07
"1","5","1","0","1",2.29479172516933e-07
"0","9","1","0","1",0.77961221833642
"1","9","1","0","1",0.551867602660394
"0","10","1","0","1",0.726534867692283
"1","10","1","0","1",0.5142955000604
"0","11","1","0","1",0.880272671150072
"1","11","1","0","1",0.623122569514965
"0","12","1","0","1",0.875398898599688
"1","12","1","0","1",0.619672550248936
"0","1","0","1","1",0.562637569281663
"1","1","0","1","1",0.398276783281704
"0","2","0","1","1",0.880447568701922
"1","2","0","1","1",0.623246375030553
"0","3","0","1","1",7.35761189973649e-07
"1","3","0","1","1",5.20826578254191e-07
"0","5","0","1","1",7.35761189976374e-07
"1","5","0","1","1",5.2082657825612e-07
"0","9","0","1","1",1.76941009325306
"1","9","0","1","1",1.25252027010343
"0","10","0","1","1",1.64894558827997
"1","10","0","1","1",1.16724651989589
"0","11","0","1","1",1.99786934133919
"1","11","0","1","1",1.4142407441821
"0","12","0","1","1",1.98680781338973
"1","12","0","1","1",1.40641057070912
"0","1","1","1","1",0.213217080528392
"1","1","1","1","1",0.150930932468629
"0","2","1","1","1",0.33365432812569
"1","2","1","1","1",0.236185387875144
"0","3","1","1","1",2.78823991601853e-07
"1","3","1","1","1",1.97372391286865e-07
"0","5","1","1","1",2.78823991602885e-07
"1","5","1","1","1",1.97372391287596e-07
"0","9","1","1","1",0.670535483122035
"1","9","1","1","1",0.47465496418067
"0","10","1","1","1",0.624884265606552
"1","10","1","1","1",0.442339631793298
"0","11","1","1","1",0.7571123783671
"1","11","1","1","1",0.535940539882174
"0","12","1","1","1",0.752920502771984
"1","12","1","1","1",0.532973218076644
"0","4","0","0","0",0
"1","4","0","0","0",0
"0","6","0","0","0",0
"1","6","0","0","0",0
"0","7","0","0","0",0
"1","7","0","0","0",0
"0","8","0","0","0",0
"1","8","0","0","0",0
"0","4","1","0","0",0
"1","4","1","0","0",0
"0","6","1","0","0",0
"1","6","1","0","0",0
"0","7","1","0","0",0
"1","7","1","0","0",0
"0","8","1","0","0",0
"1","8","1","0","0",0
"0","4","0","1","0",0
"1","4","0","1","0",0
"0","6","0","1","0",0
"1","6","0","1","0",0
"0","7","0","1","0",0
"1","7","0","1","0",0
"0","8","0","1","0",0
"1","8","0","1","0",0
"0","4","1","1","0",0
"1","4","1","1","0",0
"0","6","1","1","0",0
"1","6","1","1","0",0
"0","7","1","1","0",0
"1","7","1","1","0",0
"0","8","1","1","0",0
"1","8","1","1","0",0
"0","4","0","0","1",0
"1","4","0","0","1",0
"0","6","0","0","1",0
"1","6","0","0","1",0
"0","7","0","0","1",0
"1","7","0","0","1",0
"0","8","0","0","1",0
"1","8","0","0","1",0
"0","4","1","0","1",0
"1","4","1","0","1",0
"0","6","1","0","1",0
"1","6","1","0","1",0
"0","7","1","0","1",0
"1","7","1","0","1",0
"0","8","1","0","1",0
"1","8","1","0","1",0
"0","4","0","1","1",0
"1","4","0","1","1",0
"0","6","0","1","1",0
"1","6","0","1","1",0
"0","7","0","1","1",0
"1","7","0","1","1",0
"0","8","0","1","1",0
"1","8","0","1","1",0
"0","4","1","1","1",0
"1","4","1","1","1",0
"0","6","1","1","1",0
"1","6","1","1","1",0
"0","7","1","1","1",0
"1","7","1","1","1",0
"0","8","1","1","1",0
"1","8","1","1","1",0
