"is_loaded","burst_date_mother","position_mother_L","nature_mother_V","probas"
"0","1","0","0",4.1017056726784
"1","1","0","0",3.61778464938832
"0","2","0","0",4.09731022272518
"1","2","0","0",3.61390777653665
"0","3","0","0",3.95383077969425
"1","3","0","0",3.48735610074049
"0","4","0","0",4.56590935334686
"1","4","0","0",4.02722137745449
"0","5","0","0",3.4012850986351
"1","5","0","0",3.00000000000002
"0","10","0","0",1.23528209090158
"1","10","0","0",1.08954297132925
"0","12","0","0",3.02404088332683
"1","12","0","0",2.66726322166321
"0","1","1","0",1.972765217611
"1","1","1","0",1.74001751726369
"0","2","1","0",1.9706511725099
"1","2","1","0",1.73815288812518
"0","3","1","0",1.90164298975827
"1","3","1","0",1.67728632085683
"0","4","1","0",2.19602962227311
"1","4","1","0",1.9369410901377
"0","5","1","0",1.63588942582132
"1","5","1","0",1.44288647824124
"0","10","1","0",0.594123941925149
"1","10","1","0",0.52402894026458
"0","12","1","0",1.45444923340031
"1","12","1","0",1.28285267881599
"0","1","0","1",1.82559703118264
"1","1","0","1",1.61021229762414
"0","2","0","1",1.8236406937402
"1","2","0","1",1.60848676972597
"0","3","0","1",1.75978051796559
"1","3","0","1",1.55216084532735
"0","4","0","1",2.0322059224391
"1","4","0","1",1.79244538182461
"0","5","0","1",1.51385215658814
"1","5","0","1",1.33524721923102
"0","10","0","1",0.549802325614072
"1","10","0","1",0.484936407566692
"0","12","0","1",1.34594739343435
"1","12","0","1",1.18715193322766
"0","1","1","1",0.878043090336922
"1","1","1","1",0.77445118377987
"0","2","1","1",0.877102166056065
"1","2","1","1",0.773621270155838
"0","3","1","1",0.846387838014963
"1","3","1","1",0.746530631926105
"0","4","1","1",0.977414148829706
"1","4","1","1",0.862098401473553
"0","5","1","1",0.728105602265782
"1","5","1","1",0.642203385912549
"0","10","1","1",0.264434113778042
"1","10","1","1",0.233236061761619
"0","12","1","1",0.647349764803484
"1","12","1","1",0.570975157357373
"0","04-07","0","0",0
"1","04-07","0","0",0
"0","04-08","0","0",0
"1","04-08","0","0",0
"0","04-09","0","0",0
"1","04-09","0","0",0
"0","04-10","0","0",0
"1","04-10","0","0",0
"0","04-11","0","0",0
"1","04-11","0","0",0
"0","04-12","0","0",0
"1","04-12","0","0",0
"0","05-01","0","0",0
"1","05-01","0","0",0
"0","05-02","0","0",0
"1","05-02","0","0",0
"0","05-03","0","0",0
"1","05-03","0","0",0
"0","05-04","0","0",0
"1","05-04","0","0",0
"0","05-05","0","0",0
"1","05-05","0","0",0
"0","05-06","0","0",0
"1","05-06","0","0",0
"0","05-07","0","0",0
"1","05-07","0","0",0
"0","04-07","1","0",0
"1","04-07","1","0",0
"0","04-08","1","0",0
"1","04-08","1","0",0
"0","04-09","1","0",0
"1","04-09","1","0",0
"0","04-10","1","0",0
"1","04-10","1","0",0
"0","04-11","1","0",0
"1","04-11","1","0",0
"0","04-12","1","0",0
"1","04-12","1","0",0
"0","05-01","1","0",0
"1","05-01","1","0",0
"0","05-02","1","0",0
"1","05-02","1","0",0
"0","05-03","1","0",0
"1","05-03","1","0",0
"0","05-04","1","0",0
"1","05-04","1","0",0
"0","05-05","1","0",0
"1","05-05","1","0",0
"0","05-06","1","0",0
"1","05-06","1","0",0
"0","05-07","1","0",0
"1","05-07","1","0",0
"0","04-07","0","1",0
"1","04-07","0","1",0
"0","04-08","0","1",0
"1","04-08","0","1",0
"0","04-09","0","1",0
"1","04-09","0","1",0
"0","04-10","0","1",0
"1","04-10","0","1",0
"0","04-11","0","1",0
"1","04-11","0","1",0
"0","04-12","0","1",0
"1","04-12","0","1",0
"0","05-01","0","1",0
"1","05-01","0","1",0
"0","05-02","0","1",0
"1","05-02","0","1",0
"0","05-03","0","1",0
"1","05-03","0","1",0
"0","05-04","0","1",0
"1","05-04","0","1",0
"0","05-05","0","1",0
"1","05-05","0","1",0
"0","05-06","0","1",0
"1","05-06","0","1",0
"0","05-07","0","1",0
"1","05-07","0","1",0
"0","04-07","1","1",0
"1","04-07","1","1",0
"0","04-08","1","1",0
"1","04-08","1","1",0
"0","04-09","1","1",0
"1","04-09","1","1",0
"0","04-10","1","1",0
"1","04-10","1","1",0
"0","04-11","1","1",0
"1","04-11","1","1",0
"0","04-12","1","1",0
"1","04-12","1","1",0
"0","05-01","1","1",0
"1","05-01","1","1",0
"0","05-02","1","1",0
"1","05-02","1","1",0
"0","05-03","1","1",0
"1","05-03","1","1",0
"0","05-04","1","1",0
"1","05-04","1","1",0
"0","05-05","1","1",0
"1","05-05","1","1",0
"0","05-06","1","1",0
"1","05-06","1","1",0
"0","05-07","1","1",0
"1","05-07","1","1",0
