"is_loaded","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","0","0","0",1.52648520776232
"1","0","0","0",1.10976230779035
"0","1","0","0",0.606597241996003
"1","1","0","0",0.440999199830807
"0","0","1","0",1.30233717102611
"1","0","1","0",0.946805574721387
"0","1","1","0",0.517524920697642
"1","1","1","0",0.376243181009494
"0","0","0","1",2.08270836798685
"1","0","0","1",1.51413930063529
"0","1","0","1",0.82763013062851
"1","1","0","1",0.601691204796881
"0","0","1","1",1.77688490543089
"1","0","1","1",1.29180412839996
"0","1","1","1",0.706101492171508
"1","1","1","1",0.513339282622432
