"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"2","0","0",0.992976530511681
"3","0","0",0.999999999607864
"5","0","0",6.20401404885114e-07
"9","0","0",7.5662163162629e-08
"10","0","0",6.20401404860049e-07
"12","0","0",0.997190942236622
"2","1","0",0.924008990858632
"3","1","0",0.999999995440576
"5","1","0",5.33580218150858e-08
"9","1","0",6.50736976214288e-09
"10","1","0",5.335802181293e-08
"12","1","0",0.968285414943804
"2","0","1",0.842676605705847
"3","0","1",0.99999998964962
"5","0","1",2.35046277456743e-08
"9","0","1",2.86654742155531e-09
"10","0","1",2.35046277447247e-08
"12","0","1",0.930792245916031
"2","1","1",0.315384854384022
"3","1","1",0.999999879654581
"5","1","1",2.02152952252136e-09
"9","1","1",2.46539115351016e-10
"10","1","1",2.02152952243968e-09
"12","1","1",0.536330921596692
"1","0","0",0
"4","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"11","0","0",0
"1","1","0",0
"4","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"11","1","0",0
"1","0","1",0
"4","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"11","0","1",0
"1","1","1",0
"4","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"11","1","1",0
