"burst_date_mother","position_mother_L","probas"
"1","0",0.999999992454394
"2","0",3.29179069251556e-08
"8","0",0.375183869639878
"9","0",0.999999976495372
"10","0",0.999999992454394
"11","0",0.729395169572423
"12","0",0.657875049588782
"1","1",0.999999976495373
"2","1",1.05675172000955e-08
"8","1",0.161613283825996
"9","1",0.999999926782885
"10","1",0.999999976495372
"11","1",0.463893995018712
"12","1",0.381687227261716
"3","0",0
"4","0",0
"5","0",0
"6","0",0
"7","0",0
"3","1",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
