"burst_date_mother","nature_mother_V","probas"
"2","0",0.697094575838457
"3","0",0.400000000000001
"5","0",0.999999595716187
"9","0",7.46102246709358e-08
"10","0",0.125260315318429
"12","0",0.182580406463991
"2","1",0.842695255631642
"3","1",0.608129124200649
"5","1",0.999999826322972
"9","1",1.73677028171869e-07
"10","1",0.250000000000003
"12","1",0.34207927739735
"1","0",0
"4","0",0
"6","0",0
"7","0",0
"8","0",0
"11","0",0
"1","1",0
"4","1",0
"6","1",0
"7","1",0
"8","1",0
"11","1",0
