"burst_date_mother","position_ancestor_L","probas"
"04-08","0",0.536064799807899
"04-09","0",3.35796503938724e-07
"04-10","0",2
"04-11","0",1.41493333721017
"04-12","0",1.08899105332185
"05-01","0",2
"04-08","1",0.360838489038301
"04-09","1",2.26032940698614e-07
"04-10","1",1.34624951747479
"04-11","1",0.952426661239093
"04-12","1",0.733026840034451
"05-01","1",1.34624951747479
"04-05","0",0
"04-06","0",0
"04-07","0",0
"05-02","0",0
"05-03","0",0
"05-04","0",0
"05-05","0",0
"05-06","0",0
"05-07","0",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
"05-02","1",0
"05-03","1",0
"05-04","1",0
"05-05","1",0
"05-06","1",0
"05-07","1",0
