"is_loaded","burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"0","03-09","0","0",2.29380304084516e-07
"1","03-09","0","0",5.00628018188239e-07
"0","03-10","0","0",0.404480995476443
"1","03-10","0","0",0.597161949176168
"0","03-11","0","0",0.272774916851377
"1","03-11","0","0",0.450139571757657
"0","03-12","0","0",0.795108903002576
"1","03-12","0","0",0.894398869492174
"0","04-01","0","0",0.807700179824231
"1","04-01","0","0",0.901643225697109
"0","04-02","0","0",0.791321681272654
"1","04-02","0","0",0.892198100585303
"0","04-03","0","0",0.85887050368675
"1","04-03","0","0",0.929982629778746
"0","04-04","0","0",0.849348503576343
"1","04-04","0","0",0.924838685594001
"0","04-05","0","0",0.0899527444343122
"1","04-05","0","0",0.177448629497257
"0","03-09","1","0",9.63631305401327e-08
"1","03-09","1","0",2.10314877947131e-07
"0","03-10","1","0",0.221993572035298
"1","03-10","1","0",0.38376356068593
"0","03-11","1","0",0.136125897296537
"1","03-11","1","0",0.255904588220547
"0","03-12","1","0",0.619810194220947
"1","03-12","1","0",0.78061004346723
"0","04-01","1","0",0.6382732515041
"1","04-01","1","0",0.793861325330155
"0","04-02","1","0",0.614354324802416
"1","04-02","1","0",0.776630112425595
"0","04-03","1","0",0.71883344473781
"1","04-03","1","0",0.848021218370221
"0","04-04","1","0",0.703128980561127
"1","04-04","1","0",0.837905368019618
"0","04-05","1","0",0.0398690301149035
"1","04-05","1","0",0.0830974186666165
"0","03-09","0","1",1.50524320576389e-07
"1","03-09","0","1",3.285229724801e-07
"0","03-10","0","1",0.308298656453191
"1","03-10","0","1",0.493099681685451
"0","03-11","0","1",0.197523372294406
"1","03-11","0","1",0.349471399806726
"0","03-12","0","1",0.718036694576048
"1","03-12","0","1",0.847512893762842
"0","04-01","0","1",0.733778482980533
"1","04-01","0","1",0.857461083182303
"0","04-02","0","1",0.71333848024788
"1","04-02","0","1",0.844504879675148
"0","04-03","0","1",0.799742141495
"1","04-03","0","1",0.897077483343979
"0","04-04","0","1",0.787219104673018
"1","04-04","0","1",0.889802558487016
"0","04-05","0","1",0.0609125825057143
"1","04-05","0","1",0.124010644677875
"0","03-09","1","1",6.32355691905104e-08
"1","03-09","1","1",1.38013174361046e-07
"0","03-10","1","1",0.157713102847112
"1","03-10","1","1",0.29010774095058
"0","03-11","1","1",0.0937143155903542
"1","03-11","1","1",0.184128745816165
"0","03-12","1","1",0.516865080716382
"1","03-12","1","1",0.700140752308491
"0","04-01","1","1",0.536589635654582
"1","04-01","1","1",0.716487161442928
"0","04-02","1","1",0.511097196861075
"1","04-02","1","1",0.695270896779158
"0","04-03","1","1",0.626545615265959
"1","04-03","1","1",0.785482690444106
"0","04-04","1","1",0.608493908810486
"1","04-04","1","1",0.772321805188526
"0","04-05","1","1",0.026526493562773
"1","04-05","1","1",0.0561339032322712
"0","03-05","0","0",0
"1","03-05","0","0",0
"0","03-06","0","0",0
"1","03-06","0","0",0
"0","03-07","0","0",0
"1","03-07","0","0",0
"0","03-08","0","0",0
"1","03-08","0","0",0
"0","04-06","0","0",0
"1","04-06","0","0",0
"0","04-07","0","0",0
"1","04-07","0","0",0
"0","03-05","1","0",0
"1","03-05","1","0",0
"0","03-06","1","0",0
"1","03-06","1","0",0
"0","03-07","1","0",0
"1","03-07","1","0",0
"0","03-08","1","0",0
"1","03-08","1","0",0
"0","04-06","1","0",0
"1","04-06","1","0",0
"0","04-07","1","0",0
"1","04-07","1","0",0
"0","03-05","0","1",0
"1","03-05","0","1",0
"0","03-06","0","1",0
"1","03-06","0","1",0
"0","03-07","0","1",0
"1","03-07","0","1",0
"0","03-08","0","1",0
"1","03-08","0","1",0
"0","04-06","0","1",0
"1","04-06","0","1",0
"0","04-07","0","1",0
"1","04-07","0","1",0
"0","03-05","1","1",0
"1","03-05","1","1",0
"0","03-06","1","1",0
"1","03-06","1","1",0
"0","03-07","1","1",0
"1","03-07","1","1",0
"0","03-08","1","1",0
"1","03-08","1","1",0
"0","04-06","1","1",0
"1","04-06","1","1",0
"0","04-07","1","1",0
"1","04-07","1","1",0
