"burst_date_mother","position_mother_L","probas"
"1","0",0.853325506655457
"2","0",0.722311785278976
"3","0",0.623595724179981
"8","0",0.343327812308118
"9","0",8.18162088874183e-07
"10","0",4.72103191692665e-07
"11","0",0.838684905624756
"1","1",0.770486812396175
"2","1",0.600151092337651
"3","1",0.488745722561046
"8","1",0.231766654479492
"9","1",4.72103191685141e-07
"10","1",2.7241715793226e-07
"11","1",0.750000000000002
"4","0",0
"5","0",0
"6","0",0
"7","0",0
"12","0",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
"12","1",0
