"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"1","0","0",0.796409569801571
"2","0","0",1.58614873669218e-07
"10","0","0",0.388014419489888
"12","0","0",0.706826487944101
"1","1","0",0.432181892324177
"2","1","0",3.08618661920001e-08
"10","1","0",0.109815787961566
"12","1","0",0.319311579444802
"1","0","1",0.567818107675828
"2","0","1",5.32730444782526e-08
"10","0","1",0.175561239648849
"12","0","1",0.447437884832786
"1","1","1",0.203590430198432
"2","1","1",1.03653925562003e-08
"10","1","1",0.0397847870933722
"12","1","1",0.136109534184531
"3","0","0",0
"4","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"3","1","0",0
"4","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"3","0","1",0
"4","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"3","1","1",0
"4","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
