"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","0","0","0",0.120755158030766
"2","0","0","0",0.0491685791033665
"3","0","0","0",4.45793297636111e-08
"4","0","0","0",4.30687465195117e-08
"5","0","0","0",3.01637089249933e-08
"10","0","0","0",0.791837232687993
"12","0","0","0",0.631725750784557
"1","1","0","0",0.0675233035907886
"2","1","0","0",0.0265412587529957
"3","1","0","0",2.3504627745016e-08
"4","1","0","0",2.27081667452296e-08
"5","1","0","0",1.59039345952217e-08
"10","1","0","0",0.667292012743263
"12","1","0","0",0.474909709480648
"1","0","1","0",0.0751368587228009
"2","0","1","0",0.0296809894511971
"3","0","1","0",2.63701890829528e-08
"4","0","1","0",2.54766277242594e-08
"5","0","1","0",1.78428591755282e-08
"10","0","1","0",0.692322430914309
"12","0","1","0",0.503647764635758
"1","1","1","0",0.0410752235851657
"2","1","1","0",0.0158721295338088
"3","1","1","0",1.3903786259497e-08
"4","1","1","0",1.34326525011622e-08
"5","1","1","0",9.40771787621103e-09
"10","1","1","0",0.542627871242248
"12","1","1","0",0.348535760058941
"1","0","0","1",0.0223529617952036
"2","0","0","1",0.00853529463353111
"3","0","0","1",7.42148264841397e-09
"4","0","0","1",7.17000359305427e-09
"5","0","0","1",5.02159724912558e-09
"10","0","0","1",0.38773194965803
"12","0","0","1",0.222135633267289
"1","1","0","1",0.0119115598964137
"2","1","0","1",0.00451849999159338
"3","1","0","1",3.91300597895524e-09
"4","1","0","1",3.78041265533542e-09
"5","1","0","1",2.64765693976792e-09
"10","1","0","1",0.250315765325007
"12","1","0","1",0.130864454294867
"1","0","1","1",0.0133443764077112
"2","0","1","1",0.00506658086633809
"3","0","1","1",4.39005922210859e-09
"4","0","1","1",4.2413008133534e-09
"5","0","1","1",2.97044544008196e-09
"10","0","1","1",0.272516517223889
"12","0","1","1",0.144513157066485
"1","1","1","1",0.00708054264760264
"2","1","1","1",0.00267778857853662
"3","1","1","1",2.31467602543428e-09
"4","1","1","1",2.23624256802584e-09
"5","1","1","1",1.56617906332059e-09
"10","1","1","1",0.164934043195542
"12","1","1","1",0.0817823393695352
"6","0","0","0",0
"7","0","0","0",0
"8","0","0","0",0
"9","0","0","0",0
"11","0","0","0",0
"6","1","0","0",0
"7","1","0","0",0
"8","1","0","0",0
"9","1","0","0",0
"11","1","0","0",0
"6","0","1","0",0
"7","0","1","0",0
"8","0","1","0",0
"9","0","1","0",0
"11","0","1","0",0
"6","1","1","0",0
"7","1","1","0",0
"8","1","1","0",0
"9","1","1","0",0
"11","1","1","0",0
"6","0","0","1",0
"7","0","0","1",0
"8","0","0","1",0
"9","0","0","1",0
"11","0","0","1",0
"6","1","0","1",0
"7","1","0","1",0
"8","1","0","1",0
"9","1","0","1",0
"11","1","0","1",0
"6","0","1","1",0
"7","0","1","1",0
"8","0","1","1",0
"9","0","1","1",0
"11","0","1","1",0
"6","1","1","1",0
"7","1","1","1",0
"8","1","1","1",0
"9","1","1","1",0
"11","1","1","1",0
