"burst_date_mother","nature_ancestor_V","probas"
"04-08","0",0.646700279484366
"04-09","0",0.825259548356259
"04-10","0",0.632585915395403
"04-11","0",0.916730869729787
"04-12","0",0.999999997065154
"05-01","0",0.0471952081875101
"05-02","0",0.00430189308909564
"05-03","0",5.31761478003029e-10
"04-08","1",0.821130254336955
"04-09","1",0.92214496808118
"04-10","1",0.811958148900327
"04-11","1",0.965047716801594
"04-12","1",0.999999998829774
"05-01","1",0.110498428812433
"05-02","1",0.0107193110400272
"05-03","1",1.33362055982526e-09
"04-05","0",0
"04-06","0",0
"04-07","0",0
"05-04","0",0
"05-05","0",0
"05-06","0",0
"05-07","0",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
"05-04","1",0
"05-05","1",0
"05-06","1",0
"05-07","1",0
