"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"1","0","0",0.873431439380742
"2","0","0",1.85699568905726e-07
"3","0","0",0.751114799151219
"4","0","0",0.846350291197189
"5","0","0",1.85699568908395e-07
"9","0","0",1.22447547061607e-07
"10","0","0",0.452206758692765
"11","0","0",0.217578400902275
"12","0","0",0.731118615344236
"1","1","0",0.81857636610217
"2","1","0",1.2141526280572e-07
"3","1","0",0.663661276385349
"4","1","0",0.782678522391435
"5","1","0",1.21415262807465e-07
"9","1","0",8.00594253851907e-08
"10","1","0",0.350538724106971
"11","1","0",0.153846153846154
"12","1","0",0.640006362671767
"1","0","1",0.784083911823995
"2","0","1",9.77204580678344e-08
"3","0","1",0.613618328175997
"4","0","1",0.743499720438535
"5","0","1",9.77204580692387e-08
"9","0","1",6.44354216871851e-08
"10","0","1",0.302846885471286
"11","0","1",0.127654988790718
"12","0","1",0.588625478409981
"1","1","1",0.703644305329324
"2","1","1",6.38922039849815e-08
"3","1","1",0.509407348290666
"4","1","1",0.654600864111715
"5","1","1",6.38922039858996e-08
"9","1","1",4.21295718446311e-08
"10","1","1",0.221199254556446
"11","1","1",0.0873230604572807
"12","1","1",0.483349274199872
"6","0","0",0
"7","0","0",0
"8","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
