"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.730140898572591
"2","0","0",2.80775533815394e-08
"3","0","0",0.8337127978101
"4","0","0",0.910582947225996
"5","0","0",2.80775533808661e-08
"9","0","0",2.80775533803065e-08
"10","0","0",1.94277827949667e-08
"11","0","0",2.56981053117994e-08
"12","0","0",0.17883762542113
"1","1","0",0.579738703074364
"2","1","0",1.43153694172176e-08
"3","1","0",0.718803807958343
"4","1","0",0.838503714737164
"5","1","0",1.43153694168743e-08
"9","1","0",1.43153694165889e-08
"10","1","0",9.90527496142695e-09
"11","1","0",1.31022053607347e-08
"12","1","0",0.0999410897427515
"1","0","1",0.620389344512891
"2","0","1",1.69595996488706e-08
"3","0","1",0.751762801704819
"4","0","1",0.860162122603148
"5","0","1",1.69595996484639e-08
"9","0","1",1.69595996481259e-08
"10","0","1",1.17349048423844e-08
"11","0","1",1.5522348813289e-08
"12","0","1",0.116255357596004
"1","1","1",0.454517180757607
"2","1","1",8.64686924531991e-09
"3","1","1",0.606923714415066
"4","1","1",0.758230097182572
"5","1","1",8.64686924511256e-09
"9","1","1",8.64686924494022e-09
"10","1","1",5.98305323352805e-09
"11","1","1",7.91408542967235e-09
"12","1","1",0.0628545166443865
"6","0","0",0
"7","0","0",0
"8","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
