"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"04-08","0","0",0.363729516477773
"04-09","0","0",0.987655465175943
"04-10","0","0",0.962652268430412
"04-12","0","0",0.446283920090709
"05-01","0","0",0.0130672344944696
"05-03","0","0",1.32261752420353e-08
"04-08","1","0",0.106801188575222
"04-09","1","0",0.943613857197606
"04-10","1","0",0.843538187385516
"04-12","1","0",0.144263180673368
"05-01","1","0",0.00276176181722107
"05-03","1","0",2.76646677157946e-09
"04-08","0","1",0.0901638681778379
"04-09","0","1",0.932748607668618
"04-10","0","1",0.81712625183081
"04-12","0","1",0.122591046561506
"05-01","0","1",0.00228998709638602
"05-03","0","1",2.29280365108809e-09
"04-08","1","1",0.0203072186401697
"04-09","1","1",0.743658449665864
"04-10","1","1",0.48309912184989
"04-12","1","1",0.0283947293766095
"05-01","1","1",0.000479856560050799
"05-03","1","1",4.79576668505632e-10
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"04-11","0","0",0
"05-02","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"04-11","1","0",0
"05-02","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"04-11","0","1",0
"05-02","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
"04-11","1","1",0
"05-02","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
