"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",4.2333195409063
"3","0","0",4.46585766936789
"4","0","0",4.99075686801367
"12","0","0",0.818849427377117
"1","1","0",1.80012351166017
"3","1","0",1.89900509816841
"4","1","0",2.12220662585927
"12","1","0",0.348197222649402
"1","0","1",1.36536382856121
"3","0","1",1.44036387197744
"4","0","1",1.60965852893553
"12","0","1",0.264101818531614
"1","1","1",0.580590126970945
"3","1","1",0.612482201316978
"4","1","1",0.684470930125165
"12","1","1",0.112303332743265
"2","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"10","0","0",0
"11","0","0",0
"2","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"10","1","0",0
"11","1","0",0
"2","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"10","0","1",0
"11","0","1",0
"2","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"10","1","1",0
"11","1","1",0
