"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"04-08","0","0",2.57840246148633
"04-09","0","0",3.53188843576624
"04-10","0","0",1.81373587927154
"04-12","0","0",0.817300808309464
"05-01","0","0",1
"04-08","1","0",1.06170841719238
"04-09","1","0",1.45432520207719
"04-10","1","0",0.746841766694702
"04-12","1","0",0.336539838338536
"05-01","1","0",0.411769858682324
"04-08","0","1",1.42159753851366
"04-09","0","1",1.94730030768579
"04-10","0","1",1
"04-12","0","1",0.450617323972066
"05-01","0","1",0.551348193211922
"04-08","1","1",0.585371017536908
"04-09","1","1",0.801839572507823
"04-10","1","1",0.411769858682323
"04-12","1","1",0.185550631811784
"05-01","1","1",0.227028567603627
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"04-11","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"04-11","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"04-11","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
"04-11","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
